
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
Jemeppe-sur-Sambre GT2,BE,BE,gas,OCGT,,48.0,0.37,1.4794734137741634,71.01472386115984,gas,ocgt
Jemeppe-sur-Sambre ST,BE,BE,gas,GT+ST,,10.0,0.48,1.4794734137741634,14.794734137741637,gas,ccgt
RINGVAART STEG,BE,BE,gas,CCGT,,385.0,0.55,1.4794734137741634,569.597264303053,gas,ccgt
SERAING TV,BE,BE,gas,CCGT,,170.0,0.55,1.4794734137741634,251.51048034160775,gas,ccgt
Biostoom Oostende,BE,BE,,,,19.4,,,19.4,waste,ccgt
INESCO WKK,BE,BE,gas,CCGT,,138.0,0.55,1.4794734137741634,204.16733110083456,gas,ccgt
T-power Beringen,BE,BE,gas,CCGT,,422.0,0.55,1.4794734137741634,624.337780612697,gas,ccgt
AL-1,NL,NL,gas,CCGT,,62.0,0.55,,62.0,gas,ccgt
AL-2,NL,NL,gas,CCGT,,55.0,0.55,,55.0,gas,ccgt
Amercentrale (A8),NL,NL,hardcoal,Hardcoal,,645.0,0.4,,645.0,hardcoal,steam_turbine
Amercentrale (A9),NL,NL,hardcoal,Hardcoal,,640.0,0.4,,640.0,hardcoal,steam_turbine
Amylum,NL,NL,gas,CCGT,,7.0,0.55,,7.0,gas,ccgt
BOZ,NL,NL,gas,CCGT,,33.0,0.55,,33.0,gas,ccgt
Borssele 30,NL,NL,,,,492.0,,,492.0,nuclear,steam_turbine
CUIJK,NL,NL,hardcoal,Hardcoal,,25.0,0.4,,25.0,hardcoal,steam_turbine
Centrale Bergum (CB10),NL,NL,gas,CCGT,,72.0,0.55,,72.0,gas,ccgt
Centrale Bergum (CB20),NL,NL,gas,CCGT,,72.0,0.55,,72.0,gas,ccgt
Centrale Diemen (DM33),NL,NL,gas,CCGT,,249.0,0.55,,249.0,gas,ccgt
Centrale Diemen (DM34),NL,NL,gas,CCGT,,435.0,0.55,,435.0,gas,ccgt
Centrale Galileistraat (FG1),NL,NL,gas,CCGT,,0.0,0.55,,0.0,gas,ccgt
Centrale Gelderland (CG13),NL,NL,hardcoal,Hardcoal,,0.0,0.4,,0.0,hardcoal,steam_turbine
Centrale Harculo (HC60),NL,NL,gas,CCGT,,0.0,0.55,,0.0,gas,ccgt
Centrale Hemweg (HW-7),NL,NL,gas,CCGT,,585.0,0.55,,585.0,gas,ccgt
Centrale Hemweg (HW-8),NL,NL,hardcoal,Hardcoal,,650.0,0.4,,650.0,hardcoal,steam_turbine
Centrale Hemweg (HW-9),NL,NL,gas,CCGT,,432.0,0.55,,432.0,gas,ccgt
Centrale IJmond,NL,NL,,,,144.0,,,144.0,unknown,unknown
Centrale Lage Weide,NL,NL,gas,CCGT,,247.0,0.55,,247.0,gas,ccgt
Centrale Maasvlakte (MV1),NL,NL,hardcoal,Hardcoal,,0.0,0.4,,0.0,hardcoal,steam_turbine
Centrale Maasvlakte (MV2),NL,NL,hardcoal,Hardcoal,,0.0,0.4,,0.0,hardcoal,steam_turbine
Centrale Maasvlakte (MV3),NL,NL,hardcoal,Hardcoal,,1068.0,0.4,,1068.0,hardcoal,steam_turbine
Centrale Merwedekanaal,NL,NL,gas,CCGT,,227.0,0.55,,227.0,gas,ccgt
Centrale RoCa (RoCa3),NL,NL,gas,CCGT,,218.0,0.55,,218.0,gas,ccgt
Centrale Swentibold,NL,NL,gas,CCGT,,225.0,0.55,,225.0,gas,ccgt
Centrale Velsen (VN24),NL,NL,gas,CCGT,,459.0,0.55,,459.0,gas,ccgt
Centrale Velsen (VN25),NL,NL,gas,CCGT,,375.0,0.55,,375.0,gas,ccgt
Clauscentrale (A),NL,NL,gas,CCGT,,640.0,0.55,,640.0,gas,ccgt
Clauscentrale (C1),NL,NL,gas,CCGT,,310.0,0.55,,310.0,gas,ccgt
Clauscentrale (C2),NL,NL,gas,CCGT,,310.0,0.55,,310.0,gas,ccgt
Clauscentrale (C3),NL,NL,gas,CCGT,,310.0,0.55,,310.0,gas,ccgt
Clauscentrale (C4),NL,NL,,,,510.0,,,510.0,unknown,unknown
Delesto (Del1),NL,NL,gas,CCGT,,180.0,0.55,,180.0,gas,ccgt
Delesto (Del2),NL,NL,gas,CCGT,,350.0,0.55,,350.0,gas,ccgt
Dongecentrale,NL,NL,gas,CCGT,,0.0,0.55,,0.0,gas,ccgt
EDH,NL,NL,gas,CCGT,,112.0,0.55,,112.0,gas,ccgt
EHV,NL,NL,gas,CCGT,,0.0,0.55,,0.0,gas,ccgt
ELSTA,NL,NL,gas,CCGT,,456.0,0.55,,456.0,gas,ccgt
ENSCH,NL,NL,gas,CCGT,,0.0,0.55,,0.0,gas,ccgt
ERICA,NL,NL,gas,CCGT,,63.0,0.55,,63.0,gas,ccgt
