
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
Eldao,NO,NO,,,2018.0,9.8,,,9.8,hydro,hydro_reservoir
Eldrevatn,NO,NO,,,2013.0,4.9,,,4.9,hydro,hydro_reservoir
Ellenelva,NO,NO,,,2012.0,4.8,,,4.8,hydro,hydro_reservoir
Ellingsbekken,NO,NO,,,2005.0,0.037,,,0.037,hydro,hydro_reservoir
Embla,NO,NO,,,2012.0,4.9,,,4.9,hydro,hydro_reservoir
Embretsfoss,NO,NO,,,1921.0,71.0,,,71.0,hydro,hydro_reservoir
Engeset,NO,NO,,,2007.0,5.1,,,5.1,hydro,hydro_reservoir
Epteland,NO,NO,,,2006.0,0.2,,,0.2,hydro,hydro_reservoir
Erdal,NO,NO,,,2005.0,0.725,,,0.725,hydro,hydro_reservoir
Erfjord,NO,NO,,,2008.0,0.045,,,0.045,hydro,hydro_reservoir
Ervik,NO,NO,,,1997.0,0.012,,,0.012,hydro,hydro_reservoir
Espeelvi,NO,NO,,,2018.0,4.56,,,4.56,hydro,hydro_reservoir
Espeland,NO,NO,,,2012.0,0.965,,,0.965,hydro,hydro_reservoir
Espeland,NO,NO,,,2015.0,0.27,,,0.27,hydro,hydro_reservoir
Evanger,NO,NO,,,1969.0,330.0,,,330.0,hydro,hydro_reservoir
Evebøfossen,NO,NO,,,1910.0,0.38,,,0.38,hydro,hydro_reservoir
Evenset,NO,NO,,,2006.0,0.08,,,0.08,hydro,hydro_reservoir
Evenstad,NO,NO,,,1904.0,23.5,,,23.5,hydro,hydro_reservoir
Fagerdalen,NO,NO,,,2007.0,0.8,,,0.8,hydro,hydro_reservoir
Fagerelva,NO,NO,,,2001.0,0.035,,,0.035,hydro,hydro_reservoir
Fagerli,NO,NO,,,1975.0,48.0,,,48.0,hydro,hydro_reservoir
Fagerlid,NO,NO,,,2008.0,0.32,,,0.32,hydro,hydro_reservoir
Fagervollan,NO,NO,,,1990.0,21.0,,,21.0,hydro,hydro_reservoir
Fall,NO,NO,,,2009.0,5.5,,,5.5,hydro,hydro_reservoir
Faslefoss,NO,NO,,,1980.0,17.8,,,17.8,hydro,hydro_reservoir
Fatland,NO,NO,,,2014.0,0.975,,,0.975,hydro,hydro_reservoir
Fausa I,NO,NO,,,1929.0,0.78,,,0.78,hydro,hydro_reservoir
Fausa II,NO,NO,,,1952.0,7.0,,,7.0,hydro,hydro_reservoir
Fellesanlegget Kykkelsrud-Fossumfoss,NO,NO,,,1963.0,230.0,,,230.0,hydro,hydro_reservoir
Finndøla,NO,NO,,,1972.0,108.0,,,108.0,hydro,hydro_reservoir
Finnesetbekken,NO,NO,,,2011.0,1.428,,,1.428,hydro,hydro_reservoir
Finså,NO,NO,,,1963.0,23.0,,,23.0,hydro,hydro_reservoir
Fiskefjord,NO,NO,,,1979.0,1.5,,,1.5,hydro,hydro_reservoir
Fiskløysa,NO,NO,,,2018.0,5.1,,,5.1,hydro,hydro_reservoir
Fiskå Mølle,NO,NO,,,1984.0,0.1,,,0.1,hydro,hydro_reservoir
Fivlemyr,NO,NO,,,1962.0,2.0,,,2.0,hydro,hydro_reservoir
Fjellanger,NO,NO,,,2006.0,0.8,,,0.8,hydro,hydro_reservoir
Fjellet,NO,NO,,,2015.0,4.3,,,4.3,hydro,hydro_reservoir
Fjellhaugen,NO,NO,,,2008.0,0.16,,,0.16,hydro,hydro_reservoir
Fjelna,NO,NO,,,2015.0,4.83,,,4.83,hydro,hydro_reservoir
Fjone,NO,NO,,,1970.0,50.0,,,50.0,hydro,hydro_reservoir
Fjæremsfoss,NO,NO,,,1957.0,18.8,,,18.8,hydro,hydro_reservoir
Flaen Mølle,NO,NO,,,2006.0,0.021,,,0.021,hydro,hydro_reservoir
Flatenfoss 2,NO,NO,,,1981.0,5.5,,,5.5,hydro,hydro_reservoir
Flatenfoss 3,NO,NO,,,2009.0,7.1,,,7.1,hydro,hydro_reservoir
Flatlandsåi,NO,NO,,,2006.0,1.3,,,1.3,hydro,hydro_reservoir
Flatråker,NO,NO,,,2003.0,0.9,,,0.9,hydro,hydro_reservoir
Flittig,NO,NO,,,2017.0,5.5,,,5.5,hydro,hydro_reservoir
Flørli,NO,NO,,,1999.0,80.0,,,80.0,hydro,hydro_reservoir
Fløtre,NO,NO,,,2000.0,0.05,,,0.05,hydro,hydro_reservoir
Folkedal,NO,NO,,,2013.0,4.99,,,4.99,hydro,hydro_reservoir
Folkestad,NO,NO,,,2006.0,1.85,,,1.85,hydro,hydro_reservoir
Follafoss,NO,NO,,,2005.0,48.1,,,48.1,hydro,hydro_reservoir
Follebu bruk,NO,NO,,,1950.0,0.4,,,0.4,hydro,hydro_reservoir
Follsjå,NO,NO,,,2015.0,2.9,,,2.9,hydro,hydro_reservoir
Forneselva,NO,NO,,,2014.0,5.2,,,5.2,hydro,hydro_reservoir
Forsanvatn,NO,NO,,,2013.0,8.8,,,8.8,hydro,hydro_reservoir
Forsanvatn minikraftverk,NO,NO,,,2013.0,0.723,,,0.723,hydro,hydro_reservoir
Forsland,NO,NO,,,2003.0,7.0,,,7.0,hydro,hydro_reservoir
Forså,NO,NO,,,1963.0,12.0,,,12.0,hydro,hydro_reservoir
Foss,NO,NO,,,2003.0,0.113,,,0.113,hydro,hydro_reservoir
Fossabekken,NO,NO,,,2011.0,0.45,,,0.45,hydro,hydro_reservoir
Fossan,NO,NO,,,2000.0,2.5,,,2.5,hydro,hydro_reservoir
Fossan,NO,NO,,,2013.0,4.95,,,4.95,hydro,hydro_reservoir
Fossane,NO,NO,,,2001.0,0.18,,,0.18,hydro,hydro_psh
Fossane,NO,NO,,,2013.0,3.6,,,3.6,hydro,hydro_reservoir
Fossane - Molla,NO,NO,,,2006.0,0.325,,,0.325,hydro,hydro_reservoir
Fossbråten,NO,NO,,,2014.0,2.9,,,2.9,hydro,hydro_reservoir
Fossdal,NO,NO,,,1987.0,3.5,,,3.5,hydro,hydro_psh
Fosse,NO,NO,,,1954.0,25.0,,,25.0,hydro,hydro_reservoir
Fosseelvo Mikrokraftverk,NO,NO,,,2000.0,0.011,,,0.011,hydro,hydro_reservoir
Fossekallen,NO,NO,,,1999.0,0.08,,,0.08,hydro,hydro_reservoir
Fossekallen,NO,NO,,,2007.0,0.09,,,0.09,hydro,hydro_reservoir
Fossekallen,NO,NO,,,2014.0,0.2,,,0.2,hydro,hydro_reservoir
Fossen,NO,NO,,,1972.0,0.07,,,0.07,hydro,hydro_reservoir
Fossheim,NO,NO,,,1995.0,8.32,,,8.32,hydro,hydro_reservoir
Fossheimfoss,NO,NO,,,1994.0,1.9,,,1.9,hydro,hydro_reservoir
Fossheimgardane,NO,NO,,,2013.0,0.075,,,0.075,hydro,hydro_reservoir
Fossmark,NO,NO,,,1917.0,9.0,,,9.0,hydro,hydro_reservoir
Fossmark,NO,NO,,,2007.0,2.04,,,2.04,hydro,hydro_reservoir
Fosstun,NO,NO,,,2006.0,0.09,,,0.09,hydro,hydro_reservoir
Fosstveit,NO,NO,,,2008.0,1.99,,,1.99,hydro,hydro_reservoir
Fossum,NO,NO,,,1908.0,0.81,,,0.81,hydro,hydro_reservoir
Fossum Mølle og elektrisitetsverk,NO,NO,,,2002.0,0.06,,,0.06,hydro,hydro_reservoir
Fossåno,NO,NO,,,2006.0,1.85,,,1.85,hydro,hydro_reservoir
Frammarsvik,NO,NO,,,2008.0,2.4,,,2.4,hydro,hydro_reservoir
Framruste,NO,NO,,,2005.0,75.0,,,75.0,hydro,hydro_reservoir
Freim,NO,NO,,,2013.0,0.7,,,0.7,hydro,hydro_reservoir
Fremstedalen,NO,NO,,,2007.0,0.07,,,0.07,hydro,hydro_reservoir
Friheim,NO,NO,,,2005.0,0.027,,,0.027,hydro,hydro_reservoir
Frilsjøen,NO,NO,,,2003.0,0.07,,,0.07,hydro,hydro_reservoir
Frisvold,NO,NO,,,1998.0,0.025,,,0.025,hydro,hydro_reservoir
Fritzøe,NO,NO,,,1901.0,3.3,,,3.3,hydro,hydro_reservoir
Frøland,NO,NO,,,1912.0,24.9,,,24.9,hydro,hydro_reservoir
Frøvik Gård,NO,NO,,,1996.0,0.006,,,0.006,hydro,hydro_reservoir
Frøystul,NO,NO,,,1995.0,45.6,,,45.6,hydro,hydro_reservoir
Fuglestein,NO,NO,,,2009.0,0.025,,,0.025,hydro,hydro_reservoir
Funna,NO,NO,,,1938.0,20.6,,,20.6,hydro,hydro_reservoir
Funnefoss,NO,NO,,,1975.0,40.0,,,40.0,hydro,hydro_reservoir
Furebø,NO,NO,,,2001.0,1.08,,,1.08,hydro,hydro_reservoir
Furegardane,NO,NO,,,2014.0,5.49,,,5.49,hydro,hydro_reservoir
Furset,NO,NO,,,2007.0,4.95,,,4.95,hydro,hydro_reservoir
Fykanvannet,NO,NO,,,2013.0,2.35,,,2.35,hydro,hydro_reservoir
Færåsen,NO,NO,,,2009.0,1.43,,,1.43,hydro,hydro_reservoir
Fønhus,NO,NO,,,2004.0,0.62,,,0.62,hydro,hydro_reservoir
Føssa,NO,NO,,,2011.0,1.769,,,1.769,hydro,hydro_reservoir
Gamlebrofoss,NO,NO,,,1971.0,15.0,,,15.0,hydro,hydro_reservoir
Gandvik,NO,NO,,,1952.0,4.8,,,4.8,hydro,hydro_reservoir
Gangsbekken,NO,NO,,,2007.0,0.09,,,0.09,hydro,hydro_reservoir
Gapestad,NO,NO,,,1987.0,1.5,,,1.5,hydro,hydro_reservoir
Gaudøla,NO,NO,,,2004.0,2.0,,,2.0,hydro,hydro_reservoir
Gaula,NO,NO,,,1905.0,3.0,,,3.0,hydro,hydro_reservoir
Gausbu,NO,NO,,,1996.0,7.2,,,7.2,hydro,hydro_reservoir
Gausvik I,NO,NO,,,1910.0,3.0,,,3.0,hydro,hydro_reservoir
Gausvik III,NO,NO,,,1949.0,0.95,,,0.95,hydro,hydro_reservoir
Gautvella,NO,NO,,,2007.0,1.72,,,1.72,hydro,hydro_reservoir
Geisdøla,NO,NO,,,2005.0,1.275,,,1.275,hydro,hydro_reservoir
Geithusfoss,NO,NO,,,1961.0,13.5,,,13.5,hydro,hydro_reservoir
Geitåni,NO,NO,,,2018.0,4.62,,,4.62,hydro,hydro_reservoir
Gilja,NO,NO,,,2001.0,1.44,,,1.44,hydro,hydro_reservoir
Gire,NO,NO,,,2008.0,2.38,,,2.38,hydro,hydro_reservoir
Gisnafallet,NO,NO,,,2009.0,2.9,,,2.9,hydro,hydro_reservoir
Gjedrem & Holmen,NO,NO,,,1928.0,0.28,,,0.28,hydro,hydro_reservoir
Gjerde,NO,NO,,,2007.0,1.7,,,1.7,hydro,hydro_reservoir
Gjerdsvika,NO,NO,,,1954.0,4.0,,,4.0,hydro,hydro_reservoir
Gjerland,NO,NO,,,2007.0,0.0166,,,0.0166,hydro,hydro_reservoir
Gjersvik,NO,NO,,,2012.0,0.3,,,0.3,hydro,hydro_reservoir
Gjesdal,NO,NO,,,2011.0,3.7,,,3.7,hydro,hydro_reservoir
Gjetingsdalen,NO,NO,,,2007.0,2.2,,,2.2,hydro,hydro_reservoir
Gjuva,NO,NO,,,1957.0,10.0,,,10.0,hydro,hydro_reservoir
Gjønaelva,NO,NO,,,2018.0,3.2,,,3.2,hydro,hydro_reservoir
Gjøv,NO,NO,,,2006.0,0.095,,,0.095,hydro,hydro_reservoir
Glesåa,NO,NO,,,2009.0,2.1,,,2.1,hydro,hydro_reservoir
Glisja,NO,NO,,,2000.0,0.075,,,0.075,hydro,hydro_reservoir
Glomfjord,NO,NO,,,1920.0,20.0,,,20.0,hydro,hydro_reservoir
Glomnes,NO,NO,,,2001.0,0.349,,,0.349,hydro,hydro_reservoir
Glutra,NO,NO,,,2009.0,0.85,,,0.85,hydro,hydro_reservoir
Godal,NO,NO,,,2015.0,0.52,,,0.52,hydro,hydro_reservoir
Gosland,NO,NO,,,2016.0,4.04,,,4.04,hydro,hydro_reservoir
Govddesåga,NO,NO,,,2016.0,26.8,,,26.8,hydro,hydro_reservoir
Grana,NO,NO,,,1982.0,75.0,,,75.0,hydro,hydro_reservoir
Grasbotntjørni,NO,NO,,,2016.0,0.3,,,0.3,hydro,hydro_psh
Grasdalen,NO,NO,,,2000.0,0.642,,,0.642,hydro,hydro_reservoir
Gravbrøtfoss,NO,NO,,,2009.0,2.1,,,2.1,hydro,hydro_reservoir
Gravfoss I,NO,NO,,,1931.0,18.6,,,18.6,hydro,hydro_reservoir
Gravfoss II,NO,NO,,,1996.0,30.2,,,30.2,hydro,hydro_reservoir
Gravvold,NO,NO,,,2007.0,0.095,,,0.095,hydro,hydro_reservoir
Gresslifoss,NO,NO,,,1966.0,25.0,,,25.0,hydro,hydro_reservoir
Grimo,NO,NO,,,2011.0,0.99,,,0.99,hydro,hydro_reservoir
Grislefoss,NO,NO,,,2001.0,0.72,,,0.72,hydro,hydro_reservoir
Grovane,NO,NO,,,1998.0,0.5,,,0.5,hydro,hydro_reservoir
Grove,NO,NO,,,2006.0,0.08,,,0.08,hydro,hydro_reservoir
Grunnevatn,NO,NO,,,2016.0,1.13,,,1.13,hydro,hydro_reservoir
Grunnåi,NO,NO,,,2006.0,25.32,,,25.32,hydro,hydro_reservoir
Gryta,NO,NO,,,2009.0,1.49,,,1.49,hydro,hydro_reservoir
Grytdalen,NO,NO,,,2012.0,1.3,,,1.3,hydro,hydro_reservoir
Gryte I,NO,NO,,,2006.0,0.956,,,0.956,hydro,hydro_reservoir
Gryte II,NO,NO,,,2018.0,0.5,,,0.5,hydro,hydro_reservoir
Grytefoss,NO,NO,,,1907.0,0.86,,,0.86,hydro,hydro_reservoir
Grytendal,NO,NO,,,2018.0,6.35,,,6.35,hydro,hydro_reservoir
Grytfossen,NO,NO,,,2005.0,1.125,,,1.125,hydro,hydro_reservoir
Grytneselva,NO,NO,,,2016.0,5.9,,,5.9,hydro,hydro_reservoir
Gryto,NO,NO,,,2006.0,3.5,,,3.5,hydro,hydro_reservoir
Grytten,NO,NO,,,1975.0,143.5,,,143.5,hydro,hydro_reservoir
Grytten,NO,NO,,,2000.0,0.07,,,0.07,hydro,hydro_reservoir
Grytåga,NO,NO,,,1963.0,48.0,,,48.0,hydro,hydro_reservoir
Grytåga Småkraftverk,NO,NO,,,2008.0,1.3,,,1.3,hydro,hydro_reservoir
Grytåi,NO,NO,,,2012.0,0.856,,,0.856,hydro,hydro_reservoir
Grytåne,NO,NO,,,2017.0,0.012,,,0.012,hydro,hydro_reservoir
Grøa,NO,NO,,,1999.0,34.7,,,34.7,hydro,hydro_reservoir
Grødem,NO,NO,,,2001.0,0.015,,,0.015,hydro,hydro_reservoir
Grødemfoss,NO,NO,,,1939.0,3.08,,,3.08,hydro,hydro_reservoir
Grøndal,NO,NO,,,1999.0,0.022,,,0.022,hydro,hydro_reservoir
Grøndalsvatn,NO,NO,,,1975.0,1.36,,,1.36,hydro,hydro_psh
Grøneng,NO,NO,,,2006.0,0.95,,,0.95,hydro,hydro_reservoir
Grønhaug,NO,NO,,,2000.0,1.0,,,1.0,hydro,hydro_reservoir
Grønhovdelva,NO,NO,,,2004.0,0.065,,,0.065,hydro,hydro_reservoir
Grønlielva,NO,NO,,,2015.0,2.4,,,2.4,hydro,hydro_reservoir
Grønnedal,NO,NO,,,1947.0,1.76,,,1.76,hydro,hydro_reservoir
Grønningselva,NO,NO,,,2019.0,0.95,,,0.95,hydro,hydro_reservoir
Grønsdal,NO,NO,,,1948.0,36.0,,,36.0,hydro,hydro_reservoir
Grønvollfoss,NO,NO,,,1933.0,33.0,,,33.0,hydro,hydro_reservoir
Grøslandselva,NO,NO,,,2018.0,5.02,,,5.02,hydro,hydro_reservoir
Grøtte,NO,NO,,,2004.0,0.038,,,0.038,hydro,hydro_reservoir
Grøvla,NO,NO,,,2011.0,2.433,,,2.433,hydro,hydro_reservoir
Gråklubben,NO,NO,,,2014.0,1.089,,,1.089,hydro,hydro_reservoir
Gråsjø,NO,NO,,,1970.0,15.0,,,15.0,hydro,hydro_reservoir
Gunnar Jan Gjerland,NO,NO,,,1995.0,0.182,,,0.182,hydro,hydro_reservoir
Guolásjohka,NO,NO,,,1971.0,80.0,,,80.0,hydro,hydro_reservoir
Gurebo,NO,NO,,,1998.0,0.178,,,0.178,hydro,hydro_reservoir
Gursli,NO,NO,,,2009.0,0.215,,,0.215,hydro,hydro_reservoir
Gyl,NO,NO,,,2007.0,1.38,,,1.38,hydro,hydro_reservoir
Gåseflå,NO,NO,,,2016.0,0.24,,,0.24,hydro,hydro_reservoir
Gåslonelva,NO,NO,,,2001.0,0.56,,,0.56,hydro,hydro_reservoir
Gåsvasselva,NO,NO,,,2007.0,0.9,,,0.9,hydro,hydro_reservoir
"Haavard T, Lien Mikrokraftverk",NO,NO,,,2002.0,0.015,,,0.015,hydro,hydro_reservoir
Hafslund,NO,NO,,,1899.0,31.85,,,31.85,hydro,hydro_reservoir
Hagaelva,NO,NO,,,2005.0,0.84,,,0.84,hydro,hydro_reservoir
Hakavik,NO,NO,,,1922.0,7.0,,,7.0,hydro,hydro_reservoir
Hakkstabben,NO,NO,,,1994.0,0.8,,,0.8,hydro,hydro_reservoir
Halle,NO,NO,,,2006.0,0.019,,,0.019,hydro,hydro_reservoir
Halne,NO,NO,,,2007.0,0.01,,,0.01,hydro,hydro_reservoir
Halvdagsåa,NO,NO,,,2014.0,0.591,,,0.591,hydro,hydro_reservoir
Hammerbekken,NO,NO,,,2005.0,0.05,,,0.05,hydro,hydro_reservoir
Hammeren,NO,NO,,,1901.0,4.7,,,4.7,hydro,hydro_reservoir
Hammeren,NO,NO,,,2014.0,0.132,,,0.132,hydro,hydro_reservoir
Hammerfest,NO,NO,,,1947.0,1.1,,,1.1,hydro,hydro_reservoir
Hammerstrand,NO,NO,,,1920.0,0.72,,,0.72,hydro,hydro_reservoir
Hamrabø,NO,NO,,,1997.0,0.07,,,0.07,hydro,hydro_reservoir
Hanefoss,NO,NO,,,1961.0,22.0,,,22.0,hydro,hydro_reservoir
Hanestadnea,NO,NO,,,2012.0,2.465,,,2.465,hydro,hydro_reservoir
Hansfoss,NO,NO,,,1988.0,1.2999,,,1.2999,hydro,hydro_reservoir
Harastølen I,NO,NO,,,2002.0,0.099,,,0.099,hydro,hydro_reservoir
Harastølen II,NO,NO,,,2002.0,0.099,,,0.099,hydro,hydro_reservoir
Hardeland H,NO,NO,,,1950.0,24.0,,,24.0,hydro,hydro_reservoir
Hardeland K,NO,NO,,,1958.0,12.0,,,12.0,hydro,hydro_reservoir
Harpefossen,NO,NO,,,1965.0,108.0,,,108.0,hydro,hydro_reservoir
Harstveitbekken,NO,NO,,,2009.0,1.8,,,1.8,hydro,hydro_reservoir
Hasselelva,NO,NO,,,1980.0,1.1,,,1.1,hydro,hydro_reservoir
Hatlemark,NO,NO,,,2009.0,0.215,,,0.215,hydro,hydro_reservoir
Hatlestad,NO,NO,,,2018.0,4.49,,,4.49,hydro,hydro_reservoir
Hattebergsdalen,NO,NO,,,1954.0,4.96,,,4.96,hydro,hydro_reservoir
Haugaelva,NO,NO,,,2010.0,2.0,,,2.0,hydro,hydro_reservoir
Haugafossen,NO,NO,,,2018.0,5.43,,,5.43,hydro,hydro_reservoir
Hauge,NO,NO,,,2010.0,0.48,,,0.48,hydro,hydro_reservoir
Haugfoss,NO,NO,,,1938.0,3.6,,,3.6,hydro,hydro_reservoir
Hauggard,NO,NO,,,1985.0,0.5,,,0.5,hydro,hydro_reservoir
Haugsland,NO,NO,,,2012.0,0.022,,,0.022,hydro,hydro_reservoir
Haukali,NO,NO,,,2001.0,1.65,,,1.65,hydro,hydro_reservoir
Haukeli,NO,NO,,,1957.0,4.9,,,4.9,hydro,hydro_reservoir
Haukland,NO,NO,,,1949.0,4.9,,,4.9,hydro,hydro_reservoir
Haukrei,NO,NO,,,1992.0,16.0,,,16.0,hydro,hydro_reservoir
Haukvik,NO,NO,,,1987.0,2.6,,,2.6,hydro,hydro_reservoir
Hausken,NO,NO,,,2009.0,0.008,,,0.008,hydro,hydro_reservoir
Hauskje,NO,NO,,,1990.0,0.76,,,0.76,hydro,hydro_reservoir
Havdal,NO,NO,,,2009.0,2.3,,,2.3,hydro,hydro_reservoir
Havrevoll,NO,NO,,,2010.0,0.065,,,0.065,hydro,hydro_reservoir
Heggemselva,NO,NO,,,2019.0,0.075,,,0.075,hydro,hydro_reservoir
Heggmoen,NO,NO,,,1981.0,10.0,,,10.0,hydro,hydro_reservoir
Heggtveit,NO,NO,,,2015.0,1.66,,,1.66,hydro,hydro_reservoir
Hegsetdammen,NO,NO,,,2015.0,0.28,,,0.28,hydro,hydro_reservoir
Hegsetfoss,NO,NO,,,1962.0,32.0,,,32.0,hydro,hydro_reservoir
Heidelva,NO,NO,,,1998.0,0.5,,,0.5,hydro,hydro_reservoir
Heieren,NO,NO,,,1981.0,0.32,,,0.32,hydro,hydro_reservoir
Heierenfossen,NO,NO,,,1981.0,0.6,,,0.6,hydro,hydro_reservoir
Heimerdalen,NO,NO,,,2009.0,0.25,,,0.25,hydro,hydro_reservoir
Heimseta,NO,NO,,,2008.0,1.0,,,1.0,hydro,hydro_reservoir
Heina,NO,NO,,,2008.0,2.8,,,2.8,hydro,hydro_reservoir
Heiåi,NO,NO,,,2008.0,0.4,,,0.4,hydro,hydro_reservoir
Heiåi,NO,NO,,,2012.0,2.4,,,2.4,hydro,hydro_reservoir
Hekni,NO,NO,,,1995.0,56.0,,,56.0,hydro,hydro_reservoir
Heldøla,NO,NO,,,2004.0,0.31,,,0.31,hydro,hydro_reservoir
Helganes,NO,NO,,,2003.0,3.47,,,3.47,hydro,hydro_reservoir
Helgheim,NO,NO,,,2018.0,2.7,,,2.7,hydro,hydro_reservoir
Helgøy,NO,NO,,,1997.0,0.4,,,0.4,hydro,hydro_reservoir
Helgåa,NO,NO,,,2019.0,2.08,,,2.08,hydro,hydro_reservoir
Hellandsfoss,NO,NO,,,1992.0,31.5,,,31.5,hydro,hydro_reservoir
Hellandsfossen,NO,NO,,,1977.0,2.5,,,2.5,hydro,hydro_reservoir
Helle,NO,NO,,,2007.0,1.3,,,1.3,hydro,hydro_reservoir
Helle Bruk,NO,NO,,,1945.0,0.6,,,0.6,hydro,hydro_reservoir
Hellefoss,NO,NO,,,1953.0,11.0,,,11.0,hydro,hydro_reservoir
Helleren,NO,NO,,,1958.0,2.4,,,2.4,hydro,hydro_reservoir
Hellevang,NO,NO,,,2003.0,0.176,,,0.176,hydro,hydro_reservoir
Helveteskraft,NO,NO,,,2005.0,0.03,,,0.03,hydro,hydro_reservoir
Hemsil I,NO,NO,,,1960.0,70.0,,,70.0,hydro,hydro_reservoir
Hemsil II,NO,NO,,,1960.0,98.0,,,98.0,hydro,hydro_reservoir
Hensfoss,NO,NO,,,1946.0,16.7,,,16.7,hydro,hydro_reservoir
Herad,NO,NO,,,2008.0,0.085,,,0.085,hydro,hydro_reservoir
Herje,NO,NO,,,2015.0,4.4,,,4.4,hydro,hydro_reservoir
Herjåa,NO,NO,,,2012.0,0.328,,,0.328,hydro,hydro_reservoir
Herlandsfoss,NO,NO,,,1919.0,13.8,,,13.8,hydro,hydro_reservoir
Herva,NO,NO,,,1962.0,33.0,,,33.0,hydro,hydro_psh
Hesjeberg,NO,NO,,,2016.0,6.14,,,6.14,hydro,hydro_reservoir
Hestdal,NO,NO,,,2005.0,1.1,,,1.1,hydro,hydro_reservoir
Hestenes,NO,NO,,,2016.0,1.88,,,1.88,hydro,hydro_reservoir
Hetland,NO,NO,,,1915.0,1.48,,,1.48,hydro,hydro_reservoir
Hetland,NO,NO,,,2008.0,0.275,,,0.275,hydro,hydro_reservoir
Hindbergelva,NO,NO,,,2009.0,0.53,,,0.53,hydro,hydro_reservoir
Hisvatn,NO,NO,,,2007.0,3.6,,,3.6,hydro,hydro_reservoir
Hjartdøla,NO,NO,,,1958.0,120.0,,,120.0,hydro,hydro_reservoir
Hjelle,NO,NO,,,2008.0,2.85,,,2.85,hydro,hydro_reservoir
Hjelledøla,NO,NO,,,2006.0,1.1,,,1.1,hydro,hydro_reservoir
Hjelmeland,NO,NO,,,1993.0,6.0,,,6.0,hydro,hydro_reservoir
Hjertvatn,NO,NO,,,1957.0,2.5,,,2.5,hydro,hydro_reservoir
Hjorteland,NO,NO,,,1986.0,6.6,,,6.6,hydro,hydro_psh
Hjorteland (Fjellbergsåno),NO,NO,,,2009.0,1.75,,,1.75,hydro,hydro_reservoir
Hjorteland (Hjortelandsåno),NO,NO,,,2009.0,0.48,,,0.48,hydro,hydro_reservoir
Hodnaberg,NO,NO,,,1953.0,32.5,,,32.5,hydro,hydro_reservoir
Hoelsfossen,NO,NO,,,2007.0,0.4,,,0.4,hydro,hydro_reservoir
Hofkvern,NO,NO,,,2000.0,0.06,,,0.06,hydro,hydro_reservoir
Hofsfoss,NO,NO,,,1978.0,27.0,,,27.0,hydro,hydro_reservoir
Hogga,NO,NO,,,1987.0,17.0,,,17.0,hydro,hydro_reservoir
Hogstad,NO,NO,,,1913.0,9.6,,,9.6,hydro,hydro_reservoir
Hol I (Urunda),NO,NO,,,1956.0,106.0,,,106.0,hydro,hydro_reservoir
Hol I (Votna),NO,NO,,,1949.0,114.0,,,114.0,hydro,hydro_reservoir
Hol II,NO,NO,,,1957.0,26.0,,,26.0,hydro,hydro_reservoir
Hol III,NO,NO,,,1958.0,60.0,,,60.0,hydro,hydro_reservoir
Holdal,NO,NO,,,2012.0,1.24,,,1.24,hydro,hydro_reservoir
Hole,NO,NO,,,2013.0,0.236,,,0.236,hydro,hydro_reservoir
Holen,NO,NO,,,2019.0,8.2,,,8.2,hydro,hydro_reservoir
Holen III,NO,NO,,,1987.0,160.0,,,160.0,hydro,hydro_reservoir
Holen I-II,NO,NO,,,1981.0,230.0,,,230.0,hydro,hydro_reservoir
Holmane,NO,NO,,,2005.0,0.08,,,0.08,hydro,hydro_reservoir
Holmbekken,NO,NO,,,1997.0,0.0045,,,0.0045,hydro,hydro_reservoir
Holmem,NO,NO,,,2009.0,0.65,,,0.65,hydro,hydro_reservoir
Holmen,NO,NO,,,2016.0,25.0,,,25.0,hydro,hydro_reservoir
Holsbru,NO,NO,,,2012.0,48.9,,,48.9,hydro,hydro_reservoir
Holsen,NO,NO,,,2017.0,8.6,,,8.6,hydro,hydro_reservoir
Holsfossen,NO,NO,,,1930.0,2.2,,,2.2,hydro,hydro_reservoir
Hommafossen,NO,NO,,,2009.0,0.99,,,0.99,hydro,hydro_reservoir
Hommelfoss,NO,NO,,,1944.0,2.8,,,2.8,hydro,hydro_reservoir
Hommsåne,NO,NO,,,2016.0,1.8,,,1.8,hydro,hydro_reservoir
Hongset Røye,NO,NO,,,2012.0,0.025,,,0.025,hydro,hydro_reservoir
Honnefoss,NO,NO,,,1956.0,2.88,,,2.88,hydro,hydro_reservoir
Hopla,NO,NO,,,2004.0,0.0095,,,0.0095,hydro,hydro_reservoir
Hopland,NO,NO,,,2016.0,5.89,,,5.89,hydro,hydro_reservoir
Hopselva,NO,NO,,,2010.0,4.62,,,4.62,hydro,hydro_reservoir
Hopsfossen,NO,NO,,,1939.0,0.22,,,0.22,hydro,hydro_reservoir
Horga,NO,NO,,,1990.0,7.2,,,7.2,hydro,hydro_reservoir
Horka,NO,NO,,,1998.0,0.2,,,0.2,hydro,hydro_reservoir
Horneelva,NO,NO,,,1999.0,0.1092,,,0.1092,hydro,hydro_reservoir
Horpedal,NO,NO,,,2004.0,2.5,,,2.5,hydro,hydro_reservoir
Hovatn,NO,NO,,,1971.0,45.0,,,45.0,hydro,hydro_reservoir
Hove,NO,NO,,,1969.0,60.0,,,60.0,hydro,hydro_reservoir
Hovland,NO,NO,,,2012.0,2.995,,,2.995,hydro,hydro_reservoir
