name,country,zone,fuel,tech,commissioned,capacity_mw,eta,lon,lat
Laufen (Wasserfall),CH,CH,,,1995.0,0.72,,7.50117302601,47.4196898837
"Zwingen, Obermatt",CH,CH,,,2005.0,0.38,,7.52399277792,47.4364944597
Nenzlingen,CH,CH,,,1997.0,0.34,,7.5478685338,47.4438497021
Moos,CH,CH,,,1999.0,0.98,,7.58113219065,47.4387770608
Büttenen 2,CH,CH,,,2000.0,0.5,,7.59347246718,47.4428086273
Büttenen 1,CH,CH,,,1999.0,0.55,,7.59347246718,47.4428086273
Dornachbrugg,CH,CH,,,1996.0,1.54,,7.60740615434,47.4890184953
Neuewelt,CH,CH,,,1998.0,1.07,,7.62173011689,47.5257818674
Am. de dotation du Kembs 1,CH,CH,,,1966.0,2.85,,7.57030818507,47.6194755433
Am. de dotation du Kembs 2,CH,CH,,,2016.0,8.4,,,
Kembs,CH,CH,,,1983.0,155.0,,7.51941590623,47.6549559529
Grimsel 2,CH,CH,,,1981.0,388.0,,8.31932651704,46.5680720667
KW Grimsel Nollen,CH,CH,,,2017.0,1.1,,,
Grimsel 1-Oberaarsee,CH,CH,,,2006.0,33.6,,8.33353407357,46.5753380766
Grimsel 1-Grimselsee,CH,CH,,,2007.0,32.2,,8.33353407357,46.5753380766
Handeck 1,CH,CH,,,1932.0,44.8,,8.30758712831,46.6168313032
Handeck 2,CH,CH,,,1958.0,215.6,,,
Handeck 3 - Isogyre,CH,CH,,,1976.0,55.1,,8.30313005616,46.6156957263
Kraftwerk Hostetbach AG,CH,CH,,,2016.0,1.29,,,
Innertkirchen 3,CH,CH,,,2016.0,2.95,,,
Innertkirchen 1,CH,CH,,,2007.0,393.5,,,
Gental,CH,CH,,,1961.0,9.6,,8.33369724917,46.7271910884
Gental,CH,CH,,,1961.0,0.0,,8.33369724917,46.7271910884
Hopflauenen-Trift,CH,CH,,,1974.0,81.6,,8.27751698219,46.715113414
Hopflauenen-Leimboden,CH,CH,,,1967.0,5.4,,8.27751698219,46.715113414
Innertkirchen 2,CH,CH,,,1974.0,54.8,,8.22601948865,46.7085534816
Meiringen 2,CH,CH,,,1950.0,1.65,,8.19665922545,46.7317817542
Meiringen 1,CH,CH,,,1946.0,1.0,,8.19203780743,46.7287537496
Schattenhalb 1+,CH,CH,,,2017.0,2.3,,,
Schattenhalb 3,CH,CH,,,2010.0,9.7,,8.18458296836,46.7194470022
Giessbach,CH,CH,,,2005.0,0.9,,8.01888764388,46.7344427309
Grindelwald,CH,CH,,,1960.0,1.4,,8.05024233615,46.6264198282
Burglauenen-Lütschental,CH,CH,,,2011.0,11.9,,7.95450426806,46.6373283443
Stechelberg,CH,CH,,,1979.0,4.3,,7.89990747896,46.544726438
Saxettal-Geissbrunnen,CH,CH,,,1999.0,0.48,,7.82997757095,46.6283781404
Saxettal-Kammri,CH,CH,,,1998.0,0.8,,7.853444546,46.65762105
Interlaken,CH,CH,,,1932.0,0.82,,7.85010729942,46.6826409841
Interlaken,CH,CH,,,1996.0,0.3,,7.85010729942,46.6826409841
Kandersteg (Eggeschwand),CH,CH,,,2009.0,2.1,,7.66012339529,46.4750989753
Kandersteg (Zilfuri),CH,CH,,,1958.0,1.09,,7.69159893354,46.4956334904
Kandersteg (Dorf),CH,CH,,,2012.0,1.03,,7.67518789714,46.4959386063
Kandergrund,CH,CH,,,1991.0,19.0,,7.65948659951,46.5427473984
Engstligenalp,CH,CH,,,2011.0,0.6,,7.56175847554,46.4491601982
WKA Spiggenbach Reichenbach,CH,CH,,,2017.0,2.75,,,
Moosweid,CH,CH,,,2014.0,0.35,,7.57684401786,46.4961001155
Engstlige,CH,CH,,,1996.0,0.9,,7.58273413036,46.5068875836
Spiez,CH,CH,,,1986.0,18.66,,7.6649514724,46.6966510403
"Färmelbach, St. Stephan",CH,CH,,,2016.0,2.09,,,
KW Simelemoos,CH,CH,,,2016.0,0.35,,,
Laubegg (Garstatt),CH,CH,,,2016.0,2.6,,,
Berner Green Power GmbH,CH,CH,,,1999.0,0.37,,7.46411851171,46.6669162637
Klusi,CH,CH,,,1996.0,1.3,,7.54826368379,46.6638985262
Erlenbach,CH,CH,,,2005.0,18.0,,7.54811891222,46.6568821564
Simmenfluh,CH,CH,,,2000.0,9.0,,7.62264084059,46.6727987868
AAREwerk 62 Thun,CH,CH,,,1962.0,6.32,,7.61338717639,46.7616886927
AAREwerk 94 Thun,CH,CH,,,1994.0,2.83,,7.62032482826,46.7616779127
Thun (Eidg.),CH,CH,,,1937.0,0.44,,7.61469587515,46.761596737
Blumenstein,CH,CH,,,1990.0,0.64,,7.51333335379,46.727704518
Matte,CH,CH,,,1986.0,1.16,,7.45675932783,46.9464934587
Felsenau,CH,CH,,,1998.0,0.44,,7.43942106448,46.9684429408
Felsenau,CH,CH,,,1989.0,11.5,,7.43942106448,46.9684429408
Mühleberg,CH,CH,,,1965.0,44.59,,7.28449397374,46.9691475017
Sanetsch,CH,CH,,,1966.0,18.0,,7.27799985349,46.3764261319
Lauenen (Louibach),CH,CH,,,2014.0,0.9,,7.31831395313,46.4241533318
Gsteig,CH,CH,,,2015.0,0.72,,7.26861425605,46.3852280895
Gérignoz - La Pontia,CH,CH,,,1996.0,0.45,,7.165215604,46.4732724541
Montbovon,CH,CH,,,1972.0,31.0,,7.04831690495,46.4879524618
Lessoc,CH,CH,,,1973.0,8.56,,7.05326712822,46.5060508043
Sainte - Anne,CH,CH,,,1999.0,2.9,,7.08799404019,46.5351297566
Jaun,CH,CH,,,1982.0,0.38,,7.26934360331,46.6085004996
Charmey (La Tzintre),CH,CH,,,2012.0,0.86,,7.17691300027,46.6118329212
Charmey (La Perré),CH,CH,,,1982.0,5.27,,7.16175653751,46.6145855566
Broc,CH,CH,,,1988.0,25.0,,7.10930675272,46.6098576224
Am.de dotation d'Hauterive 1,CH,CH,,,1976.0,0.7,,7.1124380045,46.7179036853
Am. de dotation d'Hauterive 2,CH,CH,,,2005.0,1.7,,7.1124380045,46.7179036853
Hauterive,CH,CH,,,1948.0,60.0,,7.1275763544,46.7689506687
Am.de dotation d'Oelberg,CH,CH,,,1952.0,0.58,,7.16591494327,46.7987340488
Oelberg,CH,CH,,,1980.0,18.3,,7.1673408094,46.8017059504
Schiffenen,CH,CH,,,1964.0,71.0,,7.19421903622,46.8827252047
Niederried,CH,CH,,,1992.0,15.0,,7.24113567118,47.0031721765
Aarberg,CH,CH,,,1994.0,15.2,,7.27192721071,47.0378523989
Kallnach,CH,CH,,,1980.0,8.3,,7.22817749023,47.0214990152
Hagneck 1,CH,CH,,,2016.0,2.91,,,
Hagneck 2,CH,CH,,,2015.0,20.96,,7.17800844643,47.0596245726
La Dernier,CH,CH,,,1988.0,28.0,,6.34993754477,46.7020995589
La Jougnenaz,CH,CH,,,1970.0,2.35,,6.39660508601,46.7232276398
Les Clées,CH,CH,,,1955.0,30.0,,6.44499252092,46.7311268769
Montcherand,CH,CH,,,1950.0,15.5,,6.51348662252,46.7272057233
Le Chalet,CH,CH,,,1988.0,2.6,,6.52224302381,46.7277263163
Moulinets sur l'Orbe,CH,CH,,,2013.0,0.77,,6.53229949585,46.7209697782
St.Sulpice,CH,CH,,,1988.0,3.9,,6.55745141266,46.9106213602
Le Furcil,CH,CH,,,1956.0,0.68,,6.73186608774,46.9536626014
Les Moyats,CH,CH,,,1940.0,1.6,,6.75657368575,46.9529131011
Combe-Garot,CH,CH,,,1961.0,4.86,,6.79639758751,46.9623191064
Usine du Chanet,CH,CH,,,1972.0,4.4,,6.82888645291,46.9592586149
Boudry (les Essert),CH,CH,,,2014.0,0.5,,6.84290644242,46.9508768262
La Serrière,CH,CH,,,2016.0,1.3,,,
Sous les Roches,CH,CH,,,2005.0,0.39,,7.18396966384,47.1896143522
Rondchâtel,CH,CH,,,2013.0,3.0,,7.24974576351,47.1710326223
Frinvillier,CH,CH,,,2005.0,0.35,,7.25371218143,47.1683406671
Taubenloch,CH,CH,,,2006.0,0.32,,7.26165130183,47.1607076521
Bözingen,CH,CH,,,2013.0,3.25,,7.26655078925,47.1545087131
Brügg,CH,CH,,,1995.0,5.2,,7.2580998136,47.1191458966
Wannenfluh,CH,CH,,,1999.0,0.42,,7.7219601987,46.9973291774
"Gohlhaus, Lützelflüh",CH,CH,,,2016.0,0.42,,,
Hagerhüsli,CH,CH,,,2002.0,0.5,,7.53548691316,47.1209582677
Bätterkinden,CH,CH,,,2002.0,0.4,,7.54407602098,47.1330038883
Utzenstorf,CH,CH,,,1949.0,0.38,,7.54607873841,47.1458646634
Gerlafingen 1,CH,CH,,,1995.0,0.5,,7.54477997909,47.1558500995
Biberist,CH,CH,,,1985.0,0.5,,7.56911004647,47.1835291625
Emmenhof,CH,CH,,,1986.0,0.33,,7.582729415,47.1948463818
Untere Emmengasse,CH,CH,,,2001.0,0.86,,7.57919186742,47.2045650167
Luterbach,CH,CH,,,1988.0,0.32,,7.57472874781,47.2141946615
Flumenthal,CH,CH,,,2009.0,23.4,,7.58995168618,47.2291069149
Bannwil,CH,CH,,,2000.0,28.5,,7.73229827172,47.2293726093
Wynau I,CH,CH,,,1996.0,12.0,,7.78674041559,47.2556656529
Wynau II,CH,CH,,,1979.0,8.2,,7.78542689694,47.2568389099
Ruppoldingen,CH,CH,,,2000.0,23.0,,7.87770217417,47.3122915561
Aarburg,CH,CH,,,2006.0,0.42,,7.90315413711,47.3191178376
"Dünnern, Olten",CH,CH,,,2015.0,0.37,,7.89864659258,47.3486379073
Gösgen,CH,CH,,,2000.0,51.3,,7.97945465498,47.3694251427
Aarau Stadt,CH,CH,,,1964.0,16.93,,8.03587458337,47.3947817334
Rüchlig - HKW,CH,CH,,,2014.0,9.2,,8.0498397695,47.3997456678
Rüchlig-Dotierzentrale,CH,CH,,,2014.0,1.2,,8.05221688004,47.3991034678
Rupperswil-Auenstein,CH,CH,,,1993.0,40.0,,8.1147717897,47.411796663
Rupperswil-Auenstein,CH,CH,,,2010.0,1.74,,8.1147717897,47.411796663
Niederlenz,CH,CH,,,1943.0,0.4,,8.17621146751,47.3991885281
Wildegg-Brugg,CH,CH,,,1953.0,0.65,,8.1698811311,47.4688460177
Wildegg-Brugg,CH,CH,,,1997.0,51.25,,8.1698811311,47.4688460177
Beznau,CH,CH,,,2001.0,6.2,,8.23714123041,47.557805126
Beznau,CH,CH,,,1927.0,19.5,,8.23714123041,47.557805126
Klingnau,CH,CH,,,1935.0,42.6,,8.22572773348,47.5945791001
Hospental,CH,CH,,,1977.0,2.0,,8.56904462908,46.6205638209
Realp,CH,CH,,,2008.0,0.9,,8.50229746755,46.5993455879
Kraftwerk Realp II,CH,CH,,,2017.0,2.81,,,
Oberalp,CH,CH,,,2002.0,2.9,,8.60678648212,46.6329580099
Göschenen (Göscheneralp),CH,CH,,,1962.0,164.8,,8.5853141019,46.6673628552
Göschenen (Andermatt),CH,CH,,,1961.0,33.26,,8.5853141019,46.6673628552
Göschenen (Unterdorf),CH,CH,,,1969.0,1.62,,8.58467035968,46.6678191535
Wassen,CH,CH,,,1992.0,58.0,,8.61014697239,46.7156913962
Amsteg,CH,CH,,,1998.0,0.72,,8.67292336359,46.7667596543
Kraftwerk Gurtnellen,CH,CH,,,2017.0,10.0,,,
Stäubenwald,CH,CH,,,2007.0,0.31,,8.62036146626,46.7281811232
KW Gurtnellen,CH,CH,,,2018.0,2.3,,,
Kraftwerk Bristen,CH,CH,,,2016.0,4.3,,,
Amsteg,CH,CH,,,1998.0,120.0,,8.67292336359,46.7667596543
Amsteg,CH,CH,,,1998.0,1.73,,8.67292336359,46.7667596543
Arniberg,CH,CH,,,1969.0,13.0,,8.66590412922,46.7689944794
Bocki 2,CH,CH,,,1997.0,7.0,,8.63214556041,46.8409637891
Bocki 1,CH,CH,,,1997.0,1.7,,8.63214556041,46.8409637891
Äsch,CH,CH,,,1996.0,0.52,,8.81028683203,46.8652358009
Schächental,CH,CH,,,2005.0,2.2,,8.76354152909,46.8632677495
Bürglen (Unterschächen),CH,CH,,,1967.0,20.8,,8.6633716678,46.8765292426
Bürglen (Loreto),CH,CH,,,1967.0,1.5,,8.6633716678,46.8765292426
Bannwald,CH,CH,,,2002.0,0.3,,8.64234852845,46.8868282361
Kleintal (Isenthal),CH,CH,,,2009.0,1.18,,8.56226516908,46.9100429809
"Bolzbach, Seedorf Chuchib. Q.",CH,CH,,,2012.0,0.38,,,
Isenthal (Bolzbach),CH,CH,,,2009.0,12.0,,8.59340713177,46.8992075573
Ruosalp,CH,CH,,,1962.0,4.7,,8.84549886362,46.9176188126
Glattalp,CH,CH,,,1970.0,9.3,,8.84549886362,46.9176188126
Bisisthal,CH,CH,,,1962.0,15.8,,8.82799774611,46.9466216843
Muota,CH,CH,,,1960.0,8.8,,8.78249669152,46.9710051496
Hüribach,CH,CH,,,1960.0,4.7,,8.78249669152,46.9710051496
Wernisberg,CH,CH,,,1966.0,20.4,,8.65124425665,46.9962188228
Ibach,CH,CH,,,2004.0,0.32,,8.64715120305,47.0071473786
Kleinwasserkraftwerk Steineraa,CH,CH,,,2016.0,2.2,,,
Sustli,CH,CH,,,1998.0,1.63,,8.48336356408,46.963776447
Tagenstal,CH,CH,,,1941.0,1.27,,8.44557705375,46.8056049248
Trüebsee,CH,CH,,,1967.0,8.5,,,
"Arni, Engelberg",CH,CH,,,1966.0,3.07,,,
Obermatt,CH,CH,,,1963.0,31.95,,8.3737585174,46.8421091009
Obermatt (Nebenkraftwerk),CH,CH,,,1963.0,1.97,,8.37141299362,46.8429378906
Dallenwil,CH,CH,,,1987.0,17.75,,8.39360887478,46.9116636808
Buoholzbach Wolfenschiessen,CH,CH,,,2013.0,2.0,,8.3991353836,46.9270904029
Bannalp,CH,CH,,,1991.0,8.7,,8.42125996207,46.8803037351
Wolfenschiessen,CH,CH,,,1983.0,6.6,,8.39670437623,46.9012025691
Schild,CH,CH,,,2003.0,1.2,,8.15569252116,46.7798141191
Unteraa - Melchaa,CH,CH,,,2013.0,12.0,,8.1744623486,46.8214351941
Unteraa - Lungerersee,CH,CH,,,1994.0,54.0,,8.1744623486,46.8214351941
"Obflue, Sachseln",CH,CH,,,2005.0,0.3,,8.22950231798,46.857050951
Melchsee-Frutt,CH,CH,,,1960.0,14.0,,8.28145261421,46.799646307
Wisserlen,CH,CH,,,1997.0,1.15,,8.29644423422,46.9102736664
Eichi,CH,CH,,,1957.0,2.4,,8.28786773153,46.9407431769
Rotzloch,CH,CH,,,1935.0,0.3,,8.33108666537,46.9648831886
Mühlenplatz,CH,CH,,,1998.0,0.93,,8.30199665485,47.0517337725
Wolhusen (Geistlich),CH,CH,,,2003.0,0.33,,8.07763365713,47.0550001861
Malters-Ettisbühl,CH,CH,,,2011.0,0.87,,8.16559322075,47.0382855313
Stollen,CH,CH,,,1999.0,0.71,,8.23723761716,47.0337616233
Thorenberg,CH,CH,,,2000.0,0.79,,8.24804704827,47.0525764602
Emmenweid,CH,CH,,,2003.0,1.08,,8.26366866258,47.0670379793
Rathausen,CH,CH,,,1980.0,2.1,,8.3143325152,47.0817753951
Perlen 1 (WTA HF),CH,CH,,,1981.0,1.0,,8.35769882857,47.1071639177
Perlen 2 (WTA PF),CH,CH,,,2000.0,1.15,,8.36817610462,47.111127653
Innere Spinnerei,CH,CH,,,1981.0,0.45,,8.57250348397,47.1403291209
"WKW Neuägeri, Gmde Menzingen",CH,CH,,,2015.0,0.34,,8.56301002572,47.1528364463
Lorzentobel 2,CH,CH,,,1943.0,1.9,,8.56064287994,47.1720203925
Lorzentobel 1,CH,CH,,,2005.0,1.67,,8.55474850407,47.1803537205
Lorzentobel 3,CH,CH,,,2005.0,2.17,,8.53936374921,47.1957044664
Untermühle,CH,CH,,,2010.0,0.6,,8.44330123323,47.1964928952
Hagendorn,CH,CH,,,2010.0,0.58,,8.43759101386,47.2016699737
Bremgarten-Zufikon,CH,CH,,,1975.0,20.0,,8.34562802508,47.3436544275
Bruggmühle,CH,CH,,,1998.0,0.54,,8.33924607379,47.3497309812
Windisch,CH,CH,,,2016.0,2.09,,8.23042079077,47.4813098091
Limmern,CH,CH,,,2016.0,1000.0,,,
Tierfehd (Limmern),CH,CH,,,1964.0,306.0,,8.98702934899,46.8761153436
Tierfehd (Umwälzwerk),CH,CH,,,2010.0,137.9,,8.98513704227,46.8787500802
Tierfehd (Hintersand),CH,CH,,,1968.0,46.0,,8.98702934899,46.8761153436
Linthal,CH,CH,,,1964.0,34.0,,8.98790156154,46.915510447
Fätschbach,CH,CH,,,1950.0,15.0,,8.98790156154,46.915510447
Linthkraft (Stiftung),CH,CH,,,2004.0,0.5,,8.99630573219,46.9200748442
Linthwerk,CH,CH,,,2012.0,1.6,,8.99989350898,46.9260539645
"Brummbach, Linthal",CH,CH,,,2010.0,3.9,,9.00230354147,46.9276405378
"Brummbach, Braunwald",CH,CH,,,2014.0,0.93,,8.98305061474,46.9386081948
Kraftwerk Cotlan,CH,CH,,,2017.0,2.53,,,
Diesbach (Linth),CH,CH,,,1997.0,0.93,,9.02808233474,46.9511277567
Hefti,CH,CH,,,2007.0,1.05,,9.04017863032,46.9646347789
Luchsingen,CH,CH,,,1976.0,3.5,,9.0354895251,46.9660497748
Leuggelbach,CH,CH,,,1993.0,1.0,,9.04726356888,46.9774012894
Haslen,CH,CH,,,2012.0,0.92,,9.06034155135,46.9838748007
Schwanden (F.Blumer),CH,CH,,,1999.0,0.9,,9.07773551203,46.9937940839
Empächli,CH,CH,,,1995.0,0.33,,9.15841990058,46.9223429911
Krauchbachwerk,CH,CH,,,1999.0,0.64,,9.15976534811,46.9561528371
"Engi, Hinterdorf (Sernf)",CH,CH,,,2012.0,0.53,,9.159168101,46.9744263563
Engi,CH,CH,,,2009.0,3.75,,9.15319754055,46.9850426515
Kraftwerk Mühlebach AG,CH,CH,,,2018.0,0.53,,,
Sernf,CH,CH,,,2003.0,15.7,,9.08713105463,46.9957286985
Niederenbach,CH,CH,,,2004.0,28.2,,9.08713105463,46.9957286985
Schwanden (Gemeinde),CH,CH,,,2005.0,1.8,,9.08699685101,46.9956406573
Schwanden (SNE),CH,CH,,,2000.0,0.5,,9.08184034492,46.994725001
Mitlödi (Seidendruckerei),CH,CH,,,2016.0,0.85,,,
Mühlefuhr,CH,CH,,,2010.0,0.82,,9.08268411153,47.0265624558
Holenstein Wehrkraftw. Glarus,CH,CH,,,2016.0,0.55,,,
Walzmühle 2,CH,CH,,,2011.0,0.32,,9.067192771,47.0493657979
"Elggiskraft, Netstal",CH,CH,,,1983.0,0.8,,9.0605203259,47.063765377
Am Löntsch,CH,CH,,,1975.0,89.1,,9.04911463355,47.0566384819
"Linthkraft, Netstal",CH,CH,,,1960.0,1.42,,9.06069079857,47.0737495147
Mels (Tobel),CH,CH,,,1995.0,0.99,,9.3927198108,47.0382556599
Mels (KW Stoffel),CH,CH,,,1989.0,3.3,,9.41554241732,47.0432633834
Mels (Halde),CH,CH,,,2003.0,0.55,,9.4142733533,47.0445449435
KW Weissenstein,CH,CH,,,2018.0,0.64,,,
Kraftwerk Mädems-Parmort,CH,CH,,,2018.0,1.76,,,
Flums (Pravizin 1 (Bruggwiti)),CH,CH,,,1988.0,5.07,,9.33454317319,47.0865591822
Flums (Pravizin 2 (Äuli)),CH,CH,,,1943.0,0.7,,9.33453362605,47.0862894131
"Röllbach, Flums",CH,CH,,,1963.0,0.34,,9.3520435321,47.0823099655
Flums (Felsen),CH,CH,,,1993.0,1.48,,9.34026178488,47.0880841876
Flums (Neues Sägengüetli),CH,CH,,,1974.0,1.19,,9.34001761784,47.0886280848
Töbeli,CH,CH,,,1992.0,0.6,,9.32865044802,47.1248957041
Talbach,CH,CH,,,1954.0,0.75,,9.27055175592,47.1105410978
Oberterzen,CH,CH,,,1927.0,1.16,,9.25966883654,47.1005471458
Murg (Plätz),CH,CH,,,2003.0,6.5,,9.20788224569,47.0924492274
Murg (Gödis),CH,CH,,,1990.0,2.8,,9.21473631193,47.1084484412
Murg (Säge),CH,CH,,,1990.0,2.32,,9.21938501334,47.113504883
Muslen,CH,CH,,,1982.0,1.63,,9.13555309657,47.1380756597
Rütiberg (Obersee),CH,CH,,,2007.0,0.89,,9.0373154401,47.0936004244
Rütiberg (Brändbach),CH,CH,,,1977.0,0.85,,9.0373154401,47.0936004244
Risi,CH,CH,,,2011.0,4.5,,9.05671355608,47.0946783225
Niederurnen,CH,CH,,,1980.0,2.22,,9.04216502354,47.1235820231
Ziegelbrücke,CH,CH,,,2011.0,0.58,,9.06288735926,47.1331874754
"Uznaberg, Uznach",CH,CH,,,2015.0,0.51,,8.96429863072,47.2311598929
Wägital (Rempen),CH,CH,,,2012.0,66.24,,8.89757736059,47.1383731791
Wägital (Siebnen),CH,CH,,,1984.0,51.52,,8.90006739911,47.1716280522
"Spreitenbach, Galgenen Kistler",CH,CH,,,1985.0,0.3,,8.85757157445,47.1809763388
Pilgersteg,CH,CH,,,2013.0,0.56,,8.87219842017,47.2688671863
Etzelwerk,CH,CH,,,1992.0,135.0,,8.81291517067,47.1941128968
Bäch,CH,CH,,,1957.0,0.3,,8.72530004013,47.2003433021
Feusisberg,CH,CH,,,1989.0,0.87,,8.71291509258,47.173583302
Sihl-Höfe,CH,CH,,,1961.0,1.45,,8.68239576491,47.1773356908
Waldhalde,CH,CH,,,1967.0,2.8,,8.62847586729,47.1791652701
Letten,CH,CH,,,2004.0,5.0,,8.53232193345,47.3870125904
Höngg,CH,CH,,,1988.0,1.4,,8.48651399019,47.4014693207
Wettingen-Dotieranlage,CH,CH,,,2007.0,2.1,,8.32142281949,47.4563663935
Wettingen,CH,CH,,,1964.0,25.35,,8.3209043409,47.457089915
Aue-Dotierzentrale,CH,CH,,,2013.0,0.5,,8.30835960616,47.4685180209
Aue,CH,CH,,,2014.0,5.2,,8.31091055866,47.4703876782
Kappelerhof,CH,CH,,,2006.0,7.0,,8.29283192528,47.4845539139
Schiffmühle - Dotierzentrale,CH,CH,,,2013.0,0.38,,8.2696564317,47.4874209022
Schiffmühle,CH,CH,,,2013.0,3.3,,8.26489952614,47.4887141635
Turgi,CH,CH,,,1986.0,1.0,,8.25399849275,47.4960768989
BAG Turgi,CH,CH,,,2000.0,0.9,,8.24049276547,47.4981499556
"Stroppel, Untersiggenthal",CH,CH,,,2010.0,0.8,,8.24029647654,47.5027384384
"Rufi, Hätzingen",CH,CH,,,2016.0,1.06,,,
Aegina,CH,CH,,,1967.0,9.67,,8.36952330442,46.4681741373
Gletsch-Oberwald,CH,CH,,,2018.0,15.11,,,
KW Ulrichen,CH,CH,,,2014.0,2.35,,8.31853164755,46.5031259385
Merezenbach,CH,CH,,,1959.0,1.99,,8.27735361119,46.4857148879
Kraftwerk Niderbach,CH,CH,,,2016.0,0.86,,,
Blinne,CH,CH,,,2012.0,2.13,,8.25334304008,46.4652885047
Kraftwerk Walibach,CH,CH,,,2013.0,3.64,,8.21513948705,46.4521519549
Rappental,CH,CH,,,2003.0,1.2,,8.17817050918,46.3945542547
Neubrigg,CH,CH,,,2003.0,26.0,,8.13424492723,46.3961814647
Fieschertal,CH,CH,,,1999.0,64.0,,8.14113296389,46.4260956687
Fiesch,CH,CH,,,2012.0,3.1,,8.13411837029,46.39645212
Ernen,CH,CH,,,1954.0,33.0,,8.13015040964,46.3911687446
Saflisch,CH,CH,,,2005.0,1.25,,8.17357038389,46.342857005
Heiligkreuz,CH,CH,,,1989.0,41.0,,8.17519358557,46.347614362
Aletsch,CH,CH,,,1965.0,35.3,,8.04276023491,46.3539748841
Mörel,CH,CH,,,1943.0,54.9,,8.04183088725,46.3521806524
Massaboden,CH,CH,,,1959.0,7.2,,8.01135847344,46.3329975315
Bitsch,CH,CH,,,1980.0,340.0,,8.0075990397,46.3336461722
Wässerwasserkraftwerk Mund,CH,CH,,,2015.0,1.44,,7.94572953313,46.3142389389
Bortel-Oberstufe,CH,CH,,,1990.0,2.35,,8.08815887117,46.2934511663
TWKW Nessel u. Mittubäch,CH,CH,,,2015.0,0.55,,8.02478361542,46.2892989196
Bortel-Mittelstufe,CH,CH,,,1990.0,5.01,,8.06082520919,46.297742733
Ganterbach-Saltina,CH,CH,,,1980.0,6.1,,8.00417833469,46.3044267487
Wässerwasserkraftwerk Mund,CH,CH,,,2015.0,1.44,,7.94572953313,46.3142389389
Chräjubiel Ried-Brig,CH,CH,,,2016.0,0.3,,,
Rosswald-Gärsterna,CH,CH,,,1995.0,0.45,,8.03403209364,46.3162383255
Zermeiggern,CH,CH,,,1966.0,74.0,,7.95650543167,46.0823690569
Zermeiggern,CH,CH,,,1987.0,0.0,,7.95650543167,46.0823690569
Saas-Fee,CH,CH,,,1960.0,1.55,,7.93690667216,46.1162811438
Stalden,CH,CH,,,1965.0,185.0,,7.85719305844,46.2302203342
Mossjesee Kraftwerk,CH,CH,,,2015.0,0.43,,7.77882470311,46.0100902184
Mutt,CH,CH,,,2002.0,11.3,,7.73855316305,46.0114638208
Wiesti,CH,CH,,,1990.0,3.4,,7.75257026538,46.0243792554
Täschbach,CH,CH,,,1992.0,1.65,,7.78111832736,46.0672050805
KW Jungbach,CH,CH,,,2015.0,4.7,,7.80376246261,46.1875857555
"KW Siwibach (Eisten, VS)",CH,CH,,,2014.0,1.0,,7.91106743398,46.1797220622
Törbel (Gappil),CH,CH,,,2010.0,0.49,,7.84867201981,46.2347493762
Ackersand 1,CH,CH,,,1999.0,29.2,,7.87489823485,46.239778934
Ackersand 2,CH,CH,,,1959.0,64.4,,7.87425362084,46.240231203
Kraftwerk Heidadorf,CH,CH,,,2018.0,3.0,,,
Kraftwerk Heidadorf,CH,CH,,,2018.0,2.32,,,
Baltschieder,CH,CH,,,1994.0,0.33,,7.87167668529,46.3075293023
Kalter Brunnen,CH,CH,,,2000.0,0.5,,7.81615308604,46.3124055348
Ginals,CH,CH,,,2010.0,1.3,,7.78158838307,46.2659175633
KWKW Bachtoli,CH,CH,,,2014.0,0.98,,7.77903138525,46.2926424983
Unterbäch,CH,CH,,,1995.0,0.85,,7.79741347619,46.2857490893
Turtig,CH,CH,,,2007.0,1.06,,7.79388128295,46.3012328337
Chriz,CH,CH,,,2011.0,0.55,,7.79089962744,46.3017818766
Niedergesteln,CH,CH,,,2008.0,0.33,,7.78617657396,46.3142105265
Niedergesteln,CH,CH,,,2008.0,0.58,,7.78617657396,46.3142105265
Fafleralp,CH,CH,,,2012.0,1.25,,7.84571987097,46.4296977536
Blatten,CH,CH,,,1994.0,0.45,,7.82212420241,46.4229430636
Wiler,CH,CH,,,2010.0,1.4,,7.78950019889,46.4069461254
KWKW Dornbach,CH,CH,,,2013.0,0.99,,7.75702702489,46.3912093026
Lötschen,CH,CH,,,2008.0,122.0,,7.74427490433,46.3197285465
Oberems (Borterbach),CH,CH,,,2009.0,0.75,,7.70938258125,46.2480316908
Illsee,CH,CH,,,1942.0,8.2,,7.68879773306,46.2832519814
Illsee,CH,CH,,,1955.0,0.0,,7.68879773306,46.2832519814
Turtmann,CH,CH,,,1954.0,23.9,,7.68599836405,46.2954022598
Dala,CH,CH,,,2014.0,13.0,,7.62378458261,46.3187294651
Chippis-Rhône,CH,CH,,,1998.0,47.84,,7.54749996634,46.2819458712
Lona,CH,CH,,,1961.0,1.05,,7.54582501443,46.1551994564
Mottec,CH,CH,,,1958.0,71.0,,7.61998842797,46.153036238
Vissoie,CH,CH,,,1958.0,50.0,,7.58596983367,46.2099376546
"Vissoie ""groupe auxiliaire""",CH,CH,,,1958.0,0.68,,7.58596983367,46.2099376546
Navisence,CH,CH,,,2014.0,52.0,,7.54633103324,46.2813172873
Croix,CH,CH,,,1999.0,66.0,,7.43410089912,46.3081744934
Chamarin,CH,CH,,,1957.0,1.9,,7.43176341997,46.3148311156
Centrale de turb. lac d'Icogne,CH,CH,,,2012.0,2.0,,7.43851437386,46.3059257158
