name,country,zone,fuel,tech,commissioned,capacity_mw,eta,lon,lat
Sloecentrale (unit 10),NL,NL,gas,CCGT,,432.0,0.55,3.69252,51.44796
Sloecentrale (unit 20),NL,NL,gas,CCGT,,432.0,0.55,3.69252,51.44796
UCML,NL,NL,gas,CCGT,,79.0,0.55,4.02609,51.95861
Willem Alexander Centrale,NL,NL,hardcoal,Hardcoal,,249.0,0.4,5.97085,51.22402
corus,NL,NL,,,,38.0,,4.58981,52.47708
PROVENCE 4 BIOMASSE,FR,FR,gas,CCGT,2018.0,150.0,0.58,,
AMFARD14,FR,FR,gas,CCGT,2004.0,130.0,0.55,,
AMFARD15,FR,FR,gas,CCGT,2004.0,130.0,0.55,,
BLENOD 5,FR,FR,gas,CCGT,,427.0,0.55,6.08377,48.86959
BOUCHAIN 7,FR,FR,gas,CCGT,2017.0,585.0,0.58,3.31429,50.29774
COMBIGOLFE,FR,FR,gas,CCGT,2010.0,425.0,0.58,4.86974,43.41616
CYCOFOS,FR,FR,gas,CCGT,2009.0,428.0,0.58,4.88652,43.42801
Croix-de-Metz,FR,FR,gas,CCGT,2019.0,413.0,0.58,5.91468,48.69336
DK6,FR,FR,gas,CCGT,2005.0,796.0,0.55,2.31835,51.04628
EMILE HUCHET 7,FR,FR,gas,CCGT,2010.0,413.0,0.58,6.7047,49.15412
EMILE HUCHET 8,FR,FR,gas,CCGT,2010.0,413.0,0.58,6.7047,49.15412
FR-GA-MORANT1,FR,FR,gas,CCGT,2016.0,401.0,0.58,3.30095,46.27282
GENNEVILLIERS 1,FR,FR,gas,CCGT,,203.0,0.55,2.26144,48.93699
MARTIGUES PONTEAU 5,FR,FR,gas,CCGT,,465.0,0.55,5.02112,43.35822
MARTIGUES PONTEAU 6,FR,FR,gas,CCGT,,465.0,0.55,5.02112,43.35822
Pont-sur-Sambre,FR,FR,gas,CCGT,2019.0,412.0,0.58,3.86807,50.22915
SPEM,FR,FR,gas,CCGT,2010.0,435.0,0.58,-2.14028,47.30265
CORDEMAIS 4,FR,FR,hardcoal,Hardcoal,,580.0,0.4,-1.88012,47.27712
CORDEMAIS 5,FR,FR,hardcoal,Hardcoal,,580.0,0.4,-1.88012,47.27712
EMILE HUCHET 6,FR,FR,hardcoal,Hardcoal,1981.0,595.0,0.37,6.7047,49.15412
HAVRE 4,FR,FR,hardcoal,Hardcoal,,580.0,0.4,0.14711,49.47553
PROVENCE 5,FR,FR,hardcoal,Hardcoal,1984.0,595.0,0.37,5.48957,46.46883
ARRIGHI 1,FR,FR,oil,Oil,,125.0,0.36,2.41593,48.79151
ARRIGHI 2,FR,FR,oil,Oil,,129.0,0.36,2.41593,48.79151
BRENNILIS 1,FR,FR,oil,Oil,,85.0,0.36,-3.87053,48.35702
BRENNILIS 2,FR,FR,oil,Oil,,85.0,0.36,-3.87053,48.35702
BRENNILIS 3,FR,FR,oil,Oil,,134.0,0.36,-3.87053,48.35702
DIRINON 1,FR,FR,oil,Oil,,85.0,0.36,-4.26373,48.39036
DIRINON 2,FR,FR,oil,Oil,,85.0,0.36,-4.26373,48.39036
MONTEREAU 5,FR,FR,oil,Oil,,185.0,0.36,2.85108,48.38045
MONTEREAU 6,FR,FR,oil,Oil,,185.0,0.36,2.85108,48.38045
VAIRES 1,FR,FR,oil,Oil,,181.0,0.36,2.65533,48.87349
VAIRES 2,FR,FR,oil,Oil,,179.0,0.36,2.65533,48.87349
VAIRES 3,FR,FR,oil,Oil,,182.0,0.36,2.65533,48.87349
CHEYLAS,FR,FR,,,,485.0,,6.00207,45.3846
COCHE,FR,FR,,,2019.0,384.0,,6.51038,45.49667
GRAND MAISON,FR,FR,,,2017.0,1700.0,,6.11719,45.20597
MONTEZIC,FR,FR,,,,910.0,,2.64342,44.73766
REVIN,FR,FR,,,,808.0,,4.61331,49.92556
SUPER BISSORTE,FR,FR,,,,742.3,,6.5797,45.1803
ASTON,FR,FR,,,,104.0,,1.67671,42.77668
AVIGNON,FR,FR,,,1973.0,126.0,,4.81721,43.97606
BAIX LOGIS NEUF 1,FR,FR,,,1960.0,140.0,,4.78827,44.67605
BEAUCHASTEL,FR,FR,,,1963.0,198.0,,4.81049,44.82397
BOURG les VALENCE,FR,FR,,,1968.0,180.0,,4.87221,44.96128
CADEROUSSE,FR,FR,,,1975.0,156.0,,4.72329,44.09606
CHASTANG,FR,FR,,,,293.0,,2.00985,45.15185
COUESQUE,FR,FR,,,,119.0,,2.58555,44.69609
DONZERE MONDRAGON,FR,FR,,,1952.0,348.0,,4.74217,44.30368
FESSENHEIM,FR,FR,,,,175.0,,7.57067,47.91466
FR_LA-MAREGES-P,FR,FR,,,2018.0,150.0,,,
FR_LA-STPIERRE-P,FR,FR,,,2018.0,122.0,,,
GENISSIAT,FR,FR,,,1948.0,420.0,,5.81285,46.05271
GERSTHEIM,FR,FR,,,,140.5,,7.72775,48.40385
HERMILLON,FR,FR,,,,115.6,,6.35799,45.28424
KEMBS,FR,FR,,,2016.0,162.1,,7.51959,47.65534
MARCKOLSHEIM,FR,FR,,,,156.2,,7.5898,48.15371
MONTELIMAR,FR,FR,,,1957.0,295.0,,4.72593,44.59281
OTTMARSHEIM,FR,FR,,,,156.0,,7.52246,47.77399
PASSY,FR,FR,,,,104.0,,6.72592,45.91642
RANDENS,FR,FR,,,,124.2,,6.31996,45.52711
RHINAU,FR,FR,,,2016.0,152.0,,7.67728,48.28412
SAINT PIERRE COGNET,FR,FR,,,,101.0,,5.77319,44.87249
SAUSSAZ,FR,FR,,,,145.4,,6.47663,45.20992
STRASBOURG,FR,FR,,,2016.0,147.8,,7.79456,48.52561
VALLABREGUES,FR,FR,,,1970.0,210.0,,4.64349,43.82415
VOGELGRUN,FR,FR,,,,140.5,,7.57393,48.0203
AIGLE,FR,FR,,,,360.0,,2.22483,45.24373
BATHIE,FR,FR,,,2018.0,592.0,,6.62249,45.68545
BORT,FR,FR,,,,235.0,,2.49862,45.41269
BROMMAT,FR,FR,,,,406.0,,2.68415,44.76793
COMBE D'AVRIEUX,FR,FR,,,,123.0,,6.72053,45.21348
CURBANS,FR,FR,,,,139.0,,6.02016,44.42078
MALGOVERT,FR,FR,,,,297.0,,6.79074,45.61787
MONTEYNARD,FR,FR,,,,366.0,,5.68874,44.96118
MONTPEZAT,FR,FR,,,,131.8,,4.27215,44.69026
ORAISON,FR,FR,,,,187.0,,5.92438,43.92101
PIED DE BORNE,FR,FR,,,,109.4,,3.98867,44.47198
POUGET,FR,FR,,,,446.9,,3.40178,43.65604
PRAGNERES,FR,FR,,,,189.2,,0.01033,42.8211
SAINT CHAMAS,FR,FR,,,,159.0,,5.07342,43.52741
SAINT ESTEVE,FR,FR,,,,141.0,,5.38489,43.69049
SAINT GUILLERME,FR,FR,,,,116.0,,6.07914,45.03048
SAINTE CROIX,FR,FR,,,,132.3,,6.13423,43.73687
SARRANS,FR,FR,,,,183.0,,2.74042,44.82942
SERRE PONCON,FR,FR,,,,384.0,,6.26967,44.47095
SISTERON,FR,FR,,,2017.0,240.0,,5.95215,44.17517
ST ETIENNE CANTALES,FR,FR,,,2016.0,103.3,,2.21906,44.94516
VILLARODIN,FR,FR,,,,357.0,,6.71208,45.21466
VOUGLANS,FR,FR,,,,285.0,,5.66556,46.39734
BELLEVILLE 1,FR,FR,,,,1310.0,,2.87574,47.50879
BELLEVILLE 2,FR,FR,,,,1310.0,,2.87574,47.50879
BLAYAIS 1,FR,FR,,,,910.0,,-0.69065,45.25742
BLAYAIS 2,FR,FR,,,,910.0,,-0.69065,45.25742
BLAYAIS 3,FR,FR,,,,910.0,,-0.69065,45.25742
BLAYAIS 4,FR,FR,,,,910.0,,-0.69065,45.25742
BUGEY 2,FR,FR,,,,910.0,,5.26614,45.80141
BUGEY 3,FR,FR,,,,910.0,,5.26614,45.80141
BUGEY 4,FR,FR,,,,880.0,,5.26614,45.80141
BUGEY 5,FR,FR,,,,880.0,,5.26614,45.80141
CATTENOM 1,FR,FR,,,,1300.0,,6.2181,49.41579
CATTENOM 2,FR,FR,,,,1300.0,,6.2181,49.41579
CATTENOM 3,FR,FR,,,,1300.0,,6.2181,49.41579
CATTENOM 4,FR,FR,,,,1300.0,,6.2181,49.41579
CHINON 1,FR,FR,,,,905.0,,0.16824,47.22856
CHINON 2,FR,FR,,,,905.0,,0.16824,47.22856
CHINON 3,FR,FR,,,,905.0,,0.16824,47.22856
CHINON 4,FR,FR,,,,905.0,,0.16824,47.22856
CHOOZ 1,FR,FR,,,,1500.0,,4.79242,50.09136
CHOOZ 2,FR,FR,,,,1500.0,,4.79242,50.09136
CIVAUX 1,FR,FR,,,,1495.0,,0.6524,46.45614
CIVAUX 2,FR,FR,,,,1495.0,,0.6524,46.45614
CRUAS 1,FR,FR,,,,915.0,,4.75105,44.63251
CRUAS 2,FR,FR,,,,915.0,,4.75105,44.63251
CRUAS 3,FR,FR,,,,915.0,,4.75105,44.63251
CRUAS 4,FR,FR,,,,915.0,,4.75105,44.63251
DAMPIERRE 1,FR,FR,,,,890.0,,2.51772,47.73252
DAMPIERRE 2,FR,FR,,,,890.0,,2.51772,47.73252
DAMPIERRE 3,FR,FR,,,,890.0,,2.51772,47.73252
DAMPIERRE 4,FR,FR,,,,890.0,,2.51772,47.73252
FESSENHEIM 1,FR,FR,,,,880.0,,7.56308,47.90303
FESSENHEIM 2,FR,FR,,,,880.0,,7.56308,47.90303
FLAMANVILLE 1,FR,FR,,,,1330.0,,-1.88229,49.53671
FLAMANVILLE 2,FR,FR,,,,1330.0,,-1.88229,49.53671
GOLFECH 1,FR,FR,,,,1310.0,,0.84606,44.10479
GOLFECH 2,FR,FR,,,,1310.0,,0.84606,44.10479
GRAVELINES 1,FR,FR,,,,910.0,,2.13956,51.01267
GRAVELINES 2,FR,FR,,,,910.0,,2.13956,51.01267
GRAVELINES 3,FR,FR,,,,910.0,,2.13956,51.01267
GRAVELINES 4,FR,FR,,,,910.0,,2.13956,51.01267
GRAVELINES 5,FR,FR,,,,910.0,,2.13956,51.01267
GRAVELINES 6,FR,FR,,,,910.0,,2.13956,51.01267
NOGENT 1,FR,FR,,,,1310.0,,3.51776,48.5153
NOGENT 2,FR,FR,,,,1310.0,,3.51776,48.5153
PALUEL 1,FR,FR,,,,1330.0,,0.63449,49.85838
PALUEL 2,FR,FR,,,,1330.0,,0.63449,49.85838
PALUEL 3,FR,FR,,,,1330.0,,0.63449,49.85838
PALUEL 4,FR,FR,,,,1330.0,,0.63449,49.85838
PENLY 1,FR,FR,,,,1330.0,,1.21025,49.97599
PENLY 2,FR,FR,,,,1330.0,,1.21025,49.97599
ST ALBAN 1,FR,FR,,,,1335.0,,4.75527,45.40523
ST ALBAN 2,FR,FR,,,,1335.0,,4.75527,45.40523
ST LAURENT 1,FR,FR,,,,915.0,,1.58009,47.72006
ST LAURENT 2,FR,FR,,,,915.0,,1.58009,47.72006
TRICASTIN 1,FR,FR,,,,915.0,,4.72605,44.32906
TRICASTIN 2,FR,FR,,,,915.0,,4.72605,44.32906
TRICASTIN 3,FR,FR,,,,915.0,,4.72605,44.32906
