[OK] Run parameters written: out\baseline_2024_final_fb\run_parameters.json and out\baseline_2024_final_fb\run_parameters.txt
[OK] Input metadata written: out\baseline_2024_final_fb\analysis\run_metadata.json
[INFO] Flow mode aktiv: scheduled
[INFO] Loading JAO FlowBased data: input\fb\fb_core_DE_2024.csv
[OK] JAO FB data loaded: 1413 records, 862 boundary hours (61.0%)
[HYDRO] PL 2024-07: Budget=8500MWh, Cutoff=187.9EUR/MWh, Wasserwert=131.4EUR/MWh (Floor=47.1, Ceil=131.4)
[HYDRO] PL 2024-08: Budget=8500MWh, Cutoff=230.8EUR/MWh, Wasserwert=149.1EUR/MWh (Floor=70.1, Ceil=149.1)
[HYDRO] PL 2024-09: Budget=8500MWh, Cutoff=300.0EUR/MWh, Wasserwert=140.7EUR/MWh (Floor=61.6, Ceil=140.7)
[HYDRO] PL 2024-10: Budget=8500MWh, Cutoff=229.5EUR/MWh, Wasserwert=156.2EUR/MWh (Floor=68.8, Ceil=156.2)
[HYDRO] PL 2024-11: Budget=8500MWh, Cutoff=450.0EUR/MWh, Wasserwert=178.3EUR/MWh (Floor=95.6, Ceil=178.3)
[HYDRO] PL 2024-12: Budget=8500MWh, Cutoff=646.8EUR/MWh, Wasserwert=180.0EUR/MWh (Floor=74.3, Ceil=180.0)
[HYDRO] PL: Energie-Budget System aktiviert (Budget=8500MWh/Monat, Band=Â±4.0EUR/MWh)
[HYDRO] SE4 2024-01: Budget=95000MWh, Cutoff=141.0EUR/MWh, Wasserwert=123.8EUR/MWh (Floor=64.3, Ceil=123.8)
[HYDRO] SE4 2024-02: Budget=95000MWh, Cutoff=110.1EUR/MWh, Wasserwert=93.0EUR/MWh (Floor=55.1, Ceil=93.0)
[HYDRO] SE4 2024-03: Budget=95000MWh, Cutoff=134.9EUR/MWh, Wasserwert=105.1EUR/MWh (Floor=56.8, Ceil=105.1)
[HYDRO] SE4 2024-04: Budget=95000MWh, Cutoff=171.0EUR/MWh, Wasserwert=125.1EUR/MWh (Floor=50.1, Ceil=125.1)
[HYDRO] SE4 2024-05: Budget=95000MWh, Cutoff=156.3EUR/MWh, Wasserwert=127.5EUR/MWh (Floor=56.1, Ceil=127.5)
[HYDRO] SE4 2024-06: Budget=95000MWh, Cutoff=200.0EUR/MWh, Wasserwert=141.7EUR/MWh (Floor=54.9, Ceil=141.7)
[HYDRO] SE4 2024-07: Budget=95000MWh, Cutoff=187.9EUR/MWh, Wasserwert=131.4EUR/MWh (Floor=47.1, Ceil=131.4)
[HYDRO] SE4 2024-08: Budget=95000MWh, Cutoff=230.8EUR/MWh, Wasserwert=149.1EUR/MWh (Floor=70.1, Ceil=149.1)
[HYDRO] SE4 2024-09: Budget=95000MWh, Cutoff=300.0EUR/MWh, Wasserwert=140.7EUR/MWh (Floor=61.6, Ceil=140.7)
[HYDRO] SE4 2024-10: Budget=95000MWh, Cutoff=229.5EUR/MWh, Wasserwert=156.2EUR/MWh (Floor=68.8, Ceil=156.2)
[HYDRO] SE4 2024-11: Budget=95000MWh, Cutoff=450.0EUR/MWh, Wasserwert=178.3EUR/MWh (Floor=95.6, Ceil=178.3)
[HYDRO] SE4 2024-12: Budget=95000MWh, Cutoff=646.8EUR/MWh, Wasserwert=180.0EUR/MWh (Floor=74.3, Ceil=180.0)
[HYDRO] SE4: Energie-Budget System aktiviert (Budget=95000MWh/Monat, Band=Â±6.0EUR/MWh)
[DEBUG] Zeitreihen-LÃ¤ngen vor Index-Intersection:
  DE_load: 8784 Stunden, 2024-01-01 00:00:00+01:00 bis 2024-12-31 23:00:00+01:00
  fuel_prices: 8784 Stunden, 2024-01-01 01:00:00+01:00 bis 2025-01-01 00:00:00+01:00
  flows: 8784 Stunden, 2024-01-01 00:00:00+01:00 bis 2024-12-31 23:00:00+01:00
  nei_prices: 8784 Stunden, 2023-12-31 23:00:00+01:00 bis 2024-12-31 22:00:00+01:00
[INFO] Voll-Index 2024: 8784 Stunden (00:00-23:00)
[WARN] fuel_prices_reindexed: 6 fehlende Werte, interpoliere (max 3h LÃ¼cken)
[WARN] nei_prices_reindexed: 60 fehlende Werte, interpoliere (max 3h LÃ¼cken)
[INFO] Stunden im Lauf: 8784 | Fenster: 2024-01-01 00:00:00+01:00 .. 2025-01-01 00:00:00+01:00 (exkl.)
[INFO] SRMC matrix created for time window: (8784, 8220)
[INFO] interpolated short NA runs for columns: {'price_DE': 0, 'mef_g_per_kwh': 0, 'marginal_srmc_eur_per_mwh': 0}
[OK] geschrieben: out\baseline_2024_final_fb\mef_track_c_2024.csv
[OK] Debug:       out\baseline_2024_final_fb\_debug_hourly.csv
[VALIDATION] geschrieben: out\baseline_2024_final_fb\analysis\_validation.csv und out\baseline_2024_final_fb\analysis\_validation_summary.csv
[OK] Residuallast-Plots in out\baseline_2024_final_fb\analysis\plots_residuallast geschrieben.
[OK] Marginal-Share-Plots in out\baseline_2024_final_fb\analysis\plots_marginal_shares geschrieben.
[DEBUG] BEFORE make_validation_plots...
[VALIDATION] Erstelle Validierungsdiagramme in out\baseline_2024_final_fb\analysis\validation_plots...
[OK] Rohdaten exportiert: validation_raw_data.csv, monthly_summary.csv, fuel_summary.csv
[OK] Validierungsdiagramme in out\baseline_2024_final_fb\analysis\validation_plots erstellt.
[DEBUG] AFTER make_validation_plots - continuing to Enhanced Features...
[DEBUG] Enhanced Features Section erreicht!
[INFO] Enhanced Plots mit Stacked Diagrammen werden generiert...
[DEBUG] Starting create_load_coverage_chart...
[WARNING] Keine Generation-Daten verfÃ¼gbar fÃ¼r Load Coverage Chart
[OK] Load Coverage Chart erstellt
[DEBUG] Starting generate_enhanced_plots...
[WARNING] Marginal fuel stacked failed: 'timestamp'
[WARNING] Import-Export analysis failed: 'timestamp'
[INFO] Enhanced Plots: 2/5 erfolgreich erstellt
[WARNING] Enhanced Plots teilweise fehlgeschlagen
[DEBUG] Offender Analysis Section erreicht!
