"name","country","zone","fuel","tech","commissioned","capacity_mw","eta","scale","scaled_capacity_mw"
"ENSCH","NL","NL","gas","CCGT","","0.0","0.55","","0.0"
"ERICA","NL","NL","gas","CCGT","","63.0","0.55","","63.0"
"Eemscentrale (EC20)","NL","NL","gas","CCGT","","131.0","0.55","","131.0"
"Eemscentrale (EC3)","NL","NL","gas","CCGT","","359.0","0.55","","359.0"
"Eemscentrale (EC4)","NL","NL","gas","CCGT","","359.0","0.55","","359.0"
"Eemscentrale (EC5)","NL","NL","gas","CCGT","","361.0","0.55","","361.0"
"Eemscentrale (EC6)","NL","NL","gas","CCGT","","359.0","0.55","","359.0"
"Eemscentrale (EC7)","NL","NL","gas","CCGT","","360.0","0.55","","360.0"
"HM12","NL","NL","gas","CCGT","","0.0","0.55","","0.0"
"HTB","NL","NL","gas","CCGT","","32.0","0.55","","32.0"
"KLAZI","NL","NL","gas","CCGT","","63.0","0.55","","63.0"
"LD12","NL","NL","gas","CCGT","","83.0","0.55","","83.0"
"LWE5","NL","NL","gas","CCGT","","0.0","0.55","","0.0"
"MK11","NL","NL","gas","CCGT","","103.0","0.55","","103.0"
"MVL380 Centrale Rotterdam 1","NL","NL","hardcoal","Hardcoal","","731.0","0.4","","731.0"
"Magnum Centrale (10)","NL","NL","gas","CCGT","","437.0","0.55","","437.0"
"Magnum Centrale (20)","NL","NL","gas","CCGT","","437.0","0.55","","437.0"
"Magnum Centrale (30)","NL","NL","gas","CCGT","","437.0","0.55","","437.0"
"Maxima Centrale (FL30)","NL","NL","gas","CCGT","","0.0","0.55","","0.0"
"Maxima Centrale (FL4)","NL","NL","gas","CCGT","","435.0","0.55","","435.0"
"Maxima Centrale (FL5)","NL","NL","gas","CCGT","","437.0","0.55","","437.0"
"Moerdijk 1","NL","NL","gas","CCGT","","348.0","0.55","","348.0"
"Moerdijk 2","NL","NL","gas","CCGT","","426.0","0.55","","426.0"
"PU-1","NL","NL","gas","CCGT","","67.0","0.55","","67.0"
"ROC1","NL","NL","gas","CCGT","","24.0","0.55","","24.0"
"ROC2","NL","NL","gas","CCGT","","24.0","0.55","","24.0"
"Rijnmond II","NL","NL","gas","CCGT","","428.0","0.55","","428.0"
"Rijnmond1","NL","NL","gas","CCGT","","800.0","0.55","","800.0"
"SAL","NL","NL","gas","CCGT","","60.0","0.55","","60.0"
"Sloecentrale (unit 10)","NL","NL","gas","CCGT","","432.0","0.55","","432.0"
"Sloecentrale (unit 20)","NL","NL","gas","CCGT","","432.0","0.55","","432.0"
"UCML","NL","NL","gas","CCGT","","79.0","0.55","","79.0"
"Willem Alexander Centrale","NL","NL","hardcoal","Hardcoal","","249.0","0.4","","249.0"
"corus","NL","NL","nan","","","38.0","","","38.0"
"PROVENCE 4 BIOMASSE","FR","FR","gas","CCGT","2018.0","150.0","0.58","1.9593483784187715","293.90225676281574"
"AMFARD14","FR","FR","gas","CCGT","2004.0","130.0","0.55","1.9593483784187715","254.7152891944403"
"AMFARD15","FR","FR","gas","CCGT","2004.0","130.0","0.55","1.9593483784187715","254.7152891944403"
"BLENOD 5","FR","FR","gas","CCGT","","427.0","0.55","1.9593483784187715","836.6417575848154"
"BOUCHAIN 7","FR","FR","gas","CCGT","2017.0","585.0","0.58","1.9593483784187715","1146.2188013749812"
"COMBIGOLFE","FR","FR","gas","CCGT","2010.0","425.0","0.58","1.9593483784187715","832.7230608279779"
"CYCOFOS","FR","FR","gas","CCGT","2009.0","428.0","0.58","1.9593483784187715","838.6011059632342"
"Croix-de-Metz","FR","FR","gas","CCGT","2019.0","413.0","0.58","1.9593483784187715","809.2108802869526"
"DK6","FR","FR","gas","CCGT","2005.0","796.0","0.55","1.9593483784187715","1559.6413092213422"
"EMILE HUCHET 7","FR","FR","gas","CCGT","2010.0","413.0","0.58","1.9593483784187715","809.2108802869526"
"EMILE HUCHET 8","FR","FR","gas","CCGT","2010.0","413.0","0.58","1.9593483784187715","809.2108802869526"
"FR-GA-MORANT1","FR","FR","gas","CCGT","2016.0","401.0","0.58","1.9593483784187715","785.6986997459273"
"GENNEVILLIERS 1","FR","FR","gas","CCGT","","203.0","0.55","1.9593483784187715","397.7477208190106"
"MARTIGUES PONTEAU 5","FR","FR","gas","CCGT","","465.0","0.55","1.9593483784187715","911.0969959647288"
"MARTIGUES PONTEAU 6","FR","FR","gas","CCGT","","465.0","0.55","1.9593483784187715","911.0969959647288"
"Pont-sur-Sambre","FR","FR","gas","CCGT","2019.0","412.0","0.58","1.9593483784187715","807.2515319085338"
"SPEM","FR","FR","gas","CCGT","2010.0","435.0","0.58","1.9593483784187715","852.3165446121656"
"CORDEMAIS 4","FR","FR","hardcoal","Hardcoal","","580.0","0.4","0.6177474402730375","358.2935153583618"
"CORDEMAIS 5","FR","FR","hardcoal","Hardcoal","","580.0","0.4","0.6177474402730375","358.2935153583618"
"EMILE HUCHET 6","FR","FR","hardcoal","Hardcoal","1981.0","595.0","0.37","0.6177474402730375","367.5597269624573"
"HAVRE 4","FR","FR","hardcoal","Hardcoal","","580.0","0.4","0.6177474402730375","358.2935153583618"
"PROVENCE 5","FR","FR","hardcoal","Hardcoal","1984.0","595.0","0.37","0.6177474402730375","367.5597269624573"
"ARRIGHI 1","FR","FR","oil","Oil","","125.0","0.36","1.853658536585366","231.70731707317074"
"ARRIGHI 2","FR","FR","oil","Oil","","129.0","0.36","1.853658536585366","239.1219512195122"
"BRENNILIS 1","FR","FR","oil","Oil","","85.0","0.36","1.853658536585366","157.5609756097561"
"BRENNILIS 2","FR","FR","oil","Oil","","85.0","0.36","1.853658536585366","157.5609756097561"
"BRENNILIS 3","FR","FR","oil","Oil","","134.0","0.36","1.853658536585366","248.39024390243904"
"DIRINON 1","FR","FR","oil","Oil","","85.0","0.36","1.853658536585366","157.5609756097561"
"DIRINON 2","FR","FR","oil","Oil","","85.0","0.36","1.853658536585366","157.5609756097561"
"MONTEREAU 5","FR","FR","oil","Oil","","185.0","0.36","1.853658536585366","342.9268292682927"
"MONTEREAU 6","FR","FR","oil","Oil","","185.0","0.36","1.853658536585366","342.9268292682927"
"VAIRES 1","FR","FR","oil","Oil","","181.0","0.36","1.853658536585366","335.5121951219512"
"VAIRES 2","FR","FR","oil","Oil","","179.0","0.36","1.853658536585366","331.8048780487805"
"VAIRES 3","FR","FR","oil","Oil","","182.0","0.36","1.853658536585366","337.3658536585366"
"CHEYLAS","FR","FR","nan","","","485.0","","","485.0"
"COCHE","FR","FR","nan","","2019.0","384.0","","","384.0"
"GRAND MAISON","FR","FR","nan","","2017.0","1700.0","","","1700.0"
"MONTEZIC","FR","FR","nan","","","910.0","","","910.0"
"REVIN","FR","FR","nan","","","808.0","","","808.0"
"SUPER BISSORTE","FR","FR","nan","","","742.3","","","742.3"
"ASTON","FR","FR","nan","","","104.0","","","104.0"
"AVIGNON","FR","FR","nan","","1973.0","126.0","","","126.0"
"BAIX LOGIS NEUF 1","FR","FR","nan","","1960.0","140.0","","","140.0"
"BEAUCHASTEL","FR","FR","nan","","1963.0","198.0","","","198.0"
"BOURG les VALENCE","FR","FR","nan","","1968.0","180.0","","","180.0"
"CADEROUSSE","FR","FR","nan","","1975.0","156.0","","","156.0"
"CHASTANG","FR","FR","nan","","","293.0","","","293.0"
"COUESQUE","FR","FR","nan","","","119.0","","","119.0"
"DONZERE MONDRAGON","FR","FR","nan","","1952.0","348.0","","","348.0"
"FESSENHEIM","FR","FR","nan","","","175.0","","","175.0"
"FR_LA-MAREGES-P","FR","FR","nan","","2018.0","150.0","","","150.0"
"FR_LA-STPIERRE-P","FR","FR","nan","","2018.0","122.0","","","122.0"
"GENISSIAT","FR","FR","nan","","1948.0","420.0","","","420.0"
"GERSTHEIM","FR","FR","nan","","","140.5","","","140.5"
"HERMILLON","FR","FR","nan","","","115.6","","","115.6"
"KEMBS","FR","FR","nan","","2016.0","162.1","","","162.1"
"MARCKOLSHEIM","FR","FR","nan","","","156.2","","","156.2"
"MONTELIMAR","FR","FR","nan","","1957.0","295.0","","","295.0"
"OTTMARSHEIM","FR","FR","nan","","","156.0","","","156.0"
"PASSY","FR","FR","nan","","","104.0","","","104.0"
"RANDENS","FR","FR","nan","","","124.2","","","124.2"
"RHINAU","FR","FR","nan","","2016.0","152.0","","","152.0"
"SAINT PIERRE COGNET","FR","FR","nan","","","101.0","","","101.0"
"SAUSSAZ","FR","FR","nan","","","145.4","","","145.4"
"STRASBOURG","FR","FR","nan","","2016.0","147.8","","","147.8"
